id,nombre,nombre_index,autor_id,eid,orcid,documentos,fecha_creacion,citado,citaciones,h_index,co_autores,estado,areas,rango_publicacion,institucion,departamento
1062,Ricardo Camacho,Camacho R.,57194508362,9-s2.0-57194508362,"",1,21/06/2017,1,1,1,2,new,"Industrial and Manufacturing Engineering, Computer Science Applications, Food Science, Energy (all), Strategy and Management, Geotechnical Engineering and Engineering Geology",2017-2017,Universidad del Cauca,Grupo de Investigación CYTBIA y ASUBAROIN
1063,Paola A. Orozco-Sánchez,Orozco-Sánchez P.,57194490134,9-s2.0-57194490134,"",1,19/06/2017,1,1,1,4,update,"Health Information Management, Biomedical Engineering, Health Informatics",2017-2017,Universidad del Cauca,Telematics Department
1064,Jefersson Núñez-Nava,Núñez-Nava J.,57194489327,9-s2.0-57194489327,"",1,19/06/2017,1,1,1,4,update,"Health Informatics, Health Information Management, Biomedical Engineering",2017-2017,Universidad del Cauca,Telematics Department
1065,Diego Jesús Macías Pinto,Pinto D.,57194388412,9-s2.0-57194388412,"",1,10/06/2017,0,0,0,1,new,"Nature and Landscape Conservation, Forestry, Soil Science",2017-2017,Universidad del Cauca,""
1066,Luis Eduardo López Vargas,Vargas L.,57194378156,9-s2.0-57194378156,"",1,10/06/2017,0,0,0,1,new,"Soil Science, Forestry, Nature and Landscape Conservation",2017-2017,Universidad del Cauca,""
1067,Karina Yazán,Yazán K.,57194339812,9-s2.0-57194339812,"",1,06/06/2017,12,12,1,2,new,Mathematics (all),2017-2017,Universidad del Cauca,Department of Mathematics
1068,Wilmer Molina Yepez,Yepez W.,57194334237,9-s2.0-57194334237,"",1,06/06/2017,1,1,1,2,update,"Analysis, Applied Mathematics",2016-2016,Universidad del Cauca,Department of Mathematics
1069,William Possos,Possos W.,57194238977,9-s2.0-57194238977,"",1,30/05/2017,0,0,0,4,update,"Biomedical Engineering, Health Information Management, Health Informatics",2017-2017,Universidad del Cauca,Telematics Engineering Research Group
1070,Robinson Cruz,Cruz R.,57194237418,9-s2.0-57194237418,"",1,30/05/2017,0,0,0,4,update,"Health Information Management, Biomedical Engineering, Health Informatics",2017-2017,Universidad del Cauca,Telematics Engineering Research Group
1071,Cristhian Camilo Rivera-Caldón,Rivera-Caldón C.,57194051681,9-s2.0-57194051681,"",1,15/05/2017,4,4,1,4,new,Medicine (all),2017-2017,Universidad del Cauca,""
1072,Sara Lucía Mosquera-Monje,Mosquera-Monje S.,57194048741,9-s2.0-57194048741,"",1,15/05/2017,4,4,1,4,new,Medicine (all),2017-2017,Universidad del Cauca,""
1073,Obeimar Medina-Gutiérrez,Medina-Gutiérrez O.,57194014319,9-s2.0-57194014319,"",1,13/05/2017,0,0,0,2,new,Agricultural and Biological Sciences (all),2016-2016,Universidad del Cauca,Estudiante Último Año Programa Ingeniería Ambiental
1074,Javier D. Maya,Maya J.,57193909123,9-s2.0-57193909123,"",1,22/04/2017,0,0,0,2,update,"Endocrinology, Diabetes and Metabolism, Endocrinology",2016-2016,Universidad del Cauca,Department of Pediatrics
1075,Juanita Mena Gallego,Gallego J.,57193905730,9-s2.0-57193905730,"",1,22/04/2017,0,0,0,2,update,"Endocrinology, Endocrinology, Diabetes and Metabolism",2016-2016,Universidad del Cauca,Department of Pediatrics
1076,Cristian Andres Narváez,Narváez C.,57193875481,9-s2.0-57193875481,"",1,17/04/2017,0,0,0,2,new,Chemistry (all),2017-2017,Universidad del Cauca,Department of Physics
1077,Edison Benavides-Hernández,Benavides-Hernández E.,57193774465,9-s2.0-57193774465,"",1,20/10/2018,2,2,1,5,update,"Public Health, Environmental and Occupational Health, Health Policy",2018-2018,Universidad del Cauca,Department of Anesthesiology
1078,M. C. Chaparro,Chaparro M.,57193241803,9-s2.0-57193241803,"",1,16/02/2017,0,0,0,1,new,"Mechanical Engineering, Artificial Intelligence, Control and Optimization, Control and Systems Engineering",2017-2017,Universidad del Cauca,Department of Electronics
1079,Harold A.R. Romo,Romo H.,57193238571,9-s2.0-57193238571,"",1,16/02/2017,0,0,0,2,update,Computer Networks and Communications,2017-2017,Universidad del Cauca,Telecommunications Department. FIET.
1080,A. M. Guzman,Guzman A.,57193216468,9-s2.0-57193216468,"",1,15/02/2017,4,4,1,3,update,"Industrial and Manufacturing Engineering, Ceramics and Composites, Mechanics of Materials",2008-2008,Universidad del Cauca,Grupo de Ciencia y Tecnología de Materiales Cerámicos (CYTEMAC)
1081,Jorge Herrera-Chaparro,Herrera-Chaparro J.,57193163119,9-s2.0-57193163119,"",1,09/02/2017,15,15,1,2,new,"Endocrinology, Endocrinology, Diabetes and Metabolism, Endocrine and Autonomic Systems",2017-2017,Universidad del Cauca,Department of Surgery
1082,Mary Bravo-Peña,Bravo-Peña M.,57192990585,9-s2.0-57192990585,"",1,25/01/2017,2,2,1,4,new,"Anesthesiology and Pain Medicine, Critical Care and Intensive Care Medicine",2017-2017,Universidad del Cauca,Department of Anesthesiology
1083,Yeni Arroyave,Arroyave Y.,57192983383,9-s2.0-57192983383,"",1,25/01/2017,2,2,1,4,new,"Critical Care and Intensive Care Medicine, Anesthesiology and Pain Medicine",2017-2017,Universidad del Cauca,Department of Surgery
1084,Luis Barona-Fong,Barona-Fong L.,57192982349,9-s2.0-57192982349,"",1,25/01/2017,2,2,1,4,new,"Anesthesiology and Pain Medicine, Critical Care and Intensive Care Medicine",2017-2017,Universidad del Cauca,Department of Anesthesiology
1085,Julio Campo-López,Campo-López J.,57192980322,9-s2.0-57192980322,"",1,25/01/2017,2,2,1,4,new,"Critical Care and Intensive Care Medicine, Anesthesiology and Pain Medicine",2017-2017,Universidad del Cauca,Department of Anesthesiology
1086,Néstor I. Liz-Andela,Liz-Andela N.,57192693230,9-s2.0-57192693230,"",1,07/01/2017,4,4,1,3,update,Polymers and Plastics,2017-2017,Universidad del Cauca,Department of Chemistry
1087,Yeny Garcés,Garcés Y.,57192678036,9-s2.0-57192678036,"",1,06/01/2017,0,0,0,4,new,Animal Science and Zoology,2015-2015,Universidad del Cauca,Facultad de Ciencias Agrarias
1088,Wilmer Camacho,Camacho W.,57192646171,9-s2.0-57192646171,"",1,02/01/2017,1,1,1,3,update,"Computer Science Applications, Human-Computer Interaction, Education",2016-2016,Universidad del Cauca,Departamento de Sistemas
1089,Fredy Mauricio Guerrero Cordoba,Cordoba F.,57192643966,9-s2.0-57192643966,"",1,02/01/2017,0,0,0,3,update,"Education, Human-Computer Interaction, Computer Science Applications",2016-2016,Universidad del Cauca,Departamento de Telemática
1090,Edinson Castillo,Castillo E.,57192642741,9-s2.0-57192642741,"",1,02/01/2017,1,1,1,3,update,"Human-Computer Interaction, Computer Science Applications, Education",2016-2016,Universidad del Cauca,Departamento de Sistemas
1091,Duvernei Ortiz Trujillo,Trujillo D.,57192642728,9-s2.0-57192642728,"",1,02/01/2017,1,1,1,4,new,"Education, Computer Science Applications, Human-Computer Interaction",2016-2016,Universidad del Cauca,Departamento de Telemática
1092,Andrea Otero Cano,Cano A.,57192642032,9-s2.0-57192642032,"",1,02/01/2017,0,0,0,3,update,"Computer Science Applications, Human-Computer Interaction, Education",2016-2016,Universidad del Cauca,Departamento de Telemática
1093,Erwin Meza,Meza E.,57192641862,9-s2.0-57192641862,"",1,02/01/2017,1,1,1,3,update,"Computer Science Applications, Human-Computer Interaction, Education",2016-2016,Universidad del Cauca,Departamento de Sistemas
1094,Pablo E Giraldo Bustamante,Bustamante P.,57192641522,9-s2.0-57192641522,"",1,02/01/2017,0,0,0,4,new,"Computer Science Applications, Human-Computer Interaction, Education",2016-2016,Universidad del Cauca,""
1095,Lisbeth Galves Cubillos,Cubillos L.,57192640611,9-s2.0-57192640611,"",1,02/01/2017,0,0,0,4,new,"Human-Computer Interaction, Computer Science Applications, Education",2016-2016,Universidad del Cauca,""
1096,Edward Moreno-González,Moreno-González E.,57191986251,9-s2.0-57191986251,"",1,24/11/2016,0,0,0,1,new,Obstetrics and Gynecology,2016-2016,Universidad del Cauca,""
1097,Paulo Mauricio Espinosa,Espinosa P.,57191959311,9-s2.0-57191959311,"",1,24/11/2016,2,2,1,2,update,"Materials Chemistry, Polymers and Plastics, Organic Chemistry",2018-2018,Universidad del Cauca,Department of Environmental and Sanitary Engineering
1098,Nestor Felipe Muñoz Fernandez,Muñoz Fernandez N.,57191951825,9-s2.0-57191951825,"",1,23/11/2016,4,4,1,5,update,Psychiatry and Mental Health,2016-2016,Universidad del Cauca,""
1099,Yohana Daisury Meneses Valdés,Meneses Valdés Y.,57191951822,9-s2.0-57191951822,"",1,23/11/2016,4,4,1,5,update,Psychiatry and Mental Health,2016-2016,Universidad del Cauca,""
1100,Maria Alejandra Gonzales Barrera,Gonzales Barrera M.,57191951382,9-s2.0-57191951382,"",1,23/11/2016,4,4,1,5,update,Psychiatry and Mental Health,2016-2016,Universidad del Cauca,""
1101,Angela María Castano Marín,Marín A.,57191883308,9-s2.0-57191883308,"",1,17/11/2016,0,0,0,6,new,"Soil Science, Agronomy and Crop Science",2017-2017,Universidad del Cauca,""
1102,Lina Marín-Gaviria,Marín-Gaviria L.,57191746736,9-s2.0-57191746736,"",1,05/11/2016,1,1,1,2,new,"Critical Care and Intensive Care Medicine, Anesthesiology and Pain Medicine",2016-2016,Universidad del Cauca,Department of Anesthesiology
1103,Juan C. Casas,Casas J.,57191628289,9-s2.0-57191628289,"",1,29/10/2016,2,2,1,3,update,"Energy Engineering and Power Technology, Chemical Engineering (all), Fuel Technology",2016-2016,Universidad del Cauca,Department of Environmental and Sanitary Engineering
1104,Diego Mauricio Lopez Gutierrez,Gutierrez D.,57191618274,9-s2.0-57191618274,"",1,28/10/2016,1,1,1,3,new,"Hardware and Architecture, Computer Networks and Communications, Control and Optimization, Artificial Intelligence, Information Systems",2016-2016,Universidad del Cauca,""
1105,Juan David Prado López,López J.,57191338934,9-s2.0-57191338934,"",1,04/10/2016,0,0,0,2,new,"Signal Processing, Computer Science Applications, Information Systems, Artificial Intelligence, Computer Networks and Communications, Modeling and Simulation",2016-2016,Universidad del Cauca,Department of Telecommunications
1106,José Giovanny López Perafán,Perafán J.,57191329930,9-s2.0-57191329930,"",1,04/10/2016,0,0,0,2,new,"Modeling and Simulation, Computer Networks and Communications, Information Systems, Artificial Intelligence, Computer Science Applications, Signal Processing",2016-2016,Universidad del Cauca,Department of Telecommunications
1107,Johny Ortega,Ortega J.,57191285301,9-s2.0-57191285301,"",1,01/10/2016,0,0,0,4,new,"Computer Science (all), Theoretical Computer Science",2016-2016,Universidad del Cauca,Information Technology Research Group (GTI)
1108,Hernán Dulcey,Dulcey H.,57191282611,9-s2.0-57191282611,"",1,01/10/2016,0,0,0,4,new,"Theoretical Computer Science, Computer Science (all)",2016-2016,Universidad del Cauca,Information Technology Research Group (GTI)
1109,Leandro B. Filigrana,Filigrana L.,57191033442,9-s2.0-57191033442,"",1,13/09/2016,0,0,0,2,new,"Computer Vision and Pattern Recognition, Software, Computer Networks and Communications, Human-Computer Interaction",2014-2014,Universidad del Cauca,""
1110,Iván Enrique Paz Narváez,Narváez I.,57190978909,9-s2.0-57190978909,0000-0001-6235-6772,1,09/09/2016,2,2,1,2,update,Multidisciplinary,2015-2015,Universidad del Cauca,Facultad de Ciencias Agrarias
1111,Paola Yurani Gamboa Rosero,Rosero P.,57190977687,9-s2.0-57190977687,"",1,09/09/2016,2,2,1,2,new,Multidisciplinary,2015-2015,Universidad del Cauca,""
1112,Elsa S. Cajiao,Cajiao E.,57190818299,9-s2.0-57190818299,"",1,30/08/2016,1,1,1,3,new,"Computer Science Applications, Energy (all), Strategy and Management, Geotechnical Engineering and Engineering Geology, Food Science, Industrial and Manufacturing Engineering",2016-2016,Universidad del Cauca,Facultad de Ciencias Agrarias
1113,Luis E. Bustamante,Bustamante L.,57190816593,9-s2.0-57190816593,"",1,30/08/2016,1,1,1,3,new,"Geotechnical Engineering and Engineering Geology, Computer Science Applications, Strategy and Management, Industrial and Manufacturing Engineering, Energy (all), Food Science",2016-2016,Universidad del Cauca,Facultad de Ciencias Agrarias
1114,Hernán Torres,Torres H.,57190649507,9-s2.0-57190649507,"",1,21/08/2016,0,0,0,0,new,"Anthropology, Literature and Literary Theory, Philosophy",1989-1989,Universidad del Cauca,Institute of Anthropology
1115,Carlos M. Campo,Campo C.,57190586209,9-s2.0-57190586209,"",1,18/08/2016,23,23,1,2,update,Multidisciplinary,2016-2016,Universidad del Cauca,Department of Chemistry
1116,D. Mayorca,Mayorca D.,57190174599,9-s2.0-57190174599,"",1,19/07/2016,5,5,1,3,update,Physics and Astronomy (all),2016-2016,Universidad del Cauca,Grupo de Optica y Laser
