id,nombre,nombre_index,autor_id,eid,orcid,documentos,fecha_creacion,citado,citaciones,h_index,co_autores,estado,areas,rango_publicacion,institucion,departamento
190,Maribel Díaz,Díaz M.,57214887131,9-s2.0-57214887131,"",4,20/02/2020,1,1,1,4,update,"Algebra and Number Theory, Analysis, Mathematics (all), Geometry and Topology, Applied Mathematics",2020-2021,Universidad del Cauca,Department of Mathematics
191,Luz Stella Pemberthy Gallo,Pemberthy Gallo L.,57211850917,9-s2.0-57211850917,"",4,22/11/2019,20,21,4,5,update,"Tourism, Leisure and Hospitality Management, Food Science, History, Business, Management and Accounting (all), Urban Studies, Anthropology, Conservation, Geography, Planning and Development",2020-2021,Universidad del Cauca,"Department of Tourism Sciences. Faculty of Accounting, Economic and Administrative Sciences"
192,Santiago Ayerbe-González,Ayerbe-González S.,57210935558,9-s2.0-57210935558,"",4,12/09/2019,7,8,2,7,update,"Medicine (all), Biochemistry, Genetics and Molecular Biology (all)",2019-2021,Universidad del Cauca,Grupo de Investigaciones Herpetológicas y Toxinológicas
193,Elkin Dario Cárdenas DIaz,Cárdenas DIaz E.,57208386453,9-s2.0-57208386453,"",4,30/04/2019,5,6,2,3,update,"Applied Mathematics, Mathematics (all), Analysis",2018-2021,Universidad del Cauca,Department of Mathematics
194,Paola A. Arciniegas-Grijalba,Arciniegas-Grijalba P.,57205366262,9-s2.0-57205366262,"",4,14/01/2019,89,95,3,7,update,"Agronomy and Crop Science, Condensed Matter Physics, Ceramics and Composites, Biotechnology, Electronic, Optical and Magnetic Materials, Physical and Theoretical Chemistry, Fluid Flow and Transfer Processes, Food Science, Atomic and Molecular Physics, and Optics, Electrical and Electronic Engineering, Bioengineering, Materials Science (all), Catalysis, Applied Microbiology and Biotechnology, Materials Science (miscellaneous), Mechanics of Materials, Cell Biology, Mechanical Engineering",2017-2021,Universidad del Cauca,""
195,Melissa C. Patiño-Portela,Patiño-Portela M.,57205365646,9-s2.0-57205365646,"",4,14/01/2019,89,95,3,7,update,"Atomic and Molecular Physics, and Optics, Electrical and Electronic Engineering, Materials Science (all), Fluid Flow and Transfer Processes, Catalysis, Physical and Theoretical Chemistry, Bioengineering, Food Science, Condensed Matter Physics, Ceramics and Composites, Agronomy and Crop Science, Biotechnology, Electronic, Optical and Magnetic Materials, Applied Microbiology and Biotechnology, Materials Science (miscellaneous), Mechanics of Materials, Cell Biology, Mechanical Engineering",2017-2021,Universidad del Cauca,""
196,Ingrid Eliana Fernández,Fernández I.,57204876908,9-s2.0-57204876908,"",4,09/12/2018,13,13,2,8,update,"Polymers and Plastics, Materials Science (all), Condensed Matter Physics, Mechanical Engineering, Mechanics of Materials, Waste Management and Disposal, Pollution, Process Chemistry and Technology, Metals and Alloys, Physical and Theoretical Chemistry, Materials Chemistry, Chemical Engineering (miscellaneous), Atomic and Molecular Physics, and Optics",2019-2021,Universidad del Cauca,Department of Physics
197,Andrés Felipe Villaquirán Hurtado,Villaquirán Hurtado A.,57202157198,9-s2.0-57202157198,0000-0002-6156-6425,4,29/05/2018,1,1,1,10,update,"Health Policy, Library and Information Sciences, Medicine (all), Health Information Management, Earth and Planetary Sciences (all), Mathematics (all), Biochemistry, Genetics and Molecular Biology (all), History and Philosophy of Science, Energy (all), Public Health, Environmental and Occupational Health, Agricultural and Biological Sciences (all), Physics and Astronomy (all), Chemistry (all)",2017-2020,Universidad del Cauca,Grupo de Movimiento Corporal Humano y Calidad de Vida
198,Carlos Hernán Tobar Arteaga,Arteaga C.,57201994946,9-s2.0-57201994946,"",4,18/05/2018,33,35,3,7,update,"Computer Networks and Communications, Information Systems and Management, Materials Science (all), Computer Science (all), Engineering (all), Control and Optimization, Safety, Risk, Reliability and Quality, Electrical and Electronic Engineering",2017-2020,Universidad del Cauca,Departamento de Telemática
199,Fulvio Yesid Vivas,Vivas F.,57200216553,9-s2.0-57200216553,0000-0003-3695-3578,4,13/01/2018,3,3,1,8,update,"Biochemistry, Process Chemistry and Technology, Signal Processing, Electrical and Electronic Engineering, Computer Science Applications, Fluid Flow and Transfer Processes, Computer Networks and Communications, Atomic and Molecular Physics, and Optics, Information Systems, Analytical Chemistry, Materials Science (all), Information Systems and Management, Engineering (all), Instrumentation",2017-2021,Universidad del Cauca,Departamento de Telemática
200,Ana Isabel Montoya-Munoz,Montoya-Munoz A.,57200213179,9-s2.0-57200213179,"",4,13/01/2018,9,9,2,9,update,"Forestry, Instrumentation, Signal Processing, Materials Science (all), Computer Science Applications, Engineering (all), Horticulture, Process Chemistry and Technology, Computer Networks and Communications, Fluid Flow and Transfer Processes, Agronomy and Crop Science, Electrical and Electronic Engineering",2017-2021,Universidad del Cauca,Telematics Engineering Department
201,Cristian Valencia-Payan,Valencia-Payan C.,57197760004,9-s2.0-57197760004,0000-0002-7270-4870,4,25/11/2017,3,3,1,5,update,"Computer Science (all), Engineering (all), Control and Systems Engineering, Theoretical Computer Science",2018-2020,Universidad del Cauca,""
202,Omar Andrés Ramos,Ramos O.,57193835882,9-s2.0-57193835882,0000-0002-1500-0973,4,15/04/2017,4,4,1,12,update,"Nutrition and Dietetics, Medicine (miscellaneous), Medicine (all), Physical Therapy, Sports Therapy and Rehabilitation",2016-2019,"Universidad del Cauca, Universidad del Valle, Cali","Programa de Fisioterapia,  "
203,Hugo Portela-Guarín,Portela-Guarín H.,57193826921,9-s2.0-57193826921,0000-0002-5369-0848,4,15/04/2017,1,1,1,9,update,"Education, Engineering (all), Social Psychology, Medicine (all), Management, Monitoring, Policy and Law, Geography, Planning and Development, Cultural Studies",2016-2020,Universidad del Cauca,""
204,G. Eliad Benitez-Medina,Benitez-Medina G.,57193823856,9-s2.0-57193823856,0000-0003-0738-3035,4,15/04/2017,16,16,3,10,update,"Inorganic Chemistry, Catalysis, Organic Chemistry, Chemical Engineering (all), Chemistry (all), Physical and Theoretical Chemistry",2017-2021,Universidad del Cauca,Grupo de Catálisis
205,Diana María Martínez-Cerón,Martínez-Cerón D.,57193309125,9-s2.0-57193309125,"",4,21/02/2017,11,11,1,23,update,"Public Health, Environmental and Occupational Health, Cardiology and Cardiovascular Medicine",2017-2020,"Hospital Universitario Antonio Pedro, Universidad del Cauca","Department of Biostatistics and Epidemiology, Department of Social Medicine and Family Health"
227,P. J. Salazar-Valencia,Salazar-Valencia P.,15136553000,9-s2.0-15136553000,"",4,22/12/2006,6,7,1,3,update,Physics and Astronomy (all),2006-2016,Universidad del Cauca,""
206,Tomás Omar Zamora-Bastidas,Zamora-Bastidas T.,57193094342,9-s2.0-57193094342,"",4,03/02/2017,7,7,2,12,update,Medicine (all),2016-2019,"Universidad del Cauca, Hospital Universitario San José","Department of Internal Medicine, Department of Internal Medicine"
207,Edwar Javier Girón,Girón E.,57191619996,9-s2.0-57191619996,"",4,28/10/2016,7,8,2,9,update,"Computer Science Applications, Hardware and Architecture, Computer Networks and Communications, Artificial Intelligence, Information Systems, Engineering (all), Control and Optimization, Modeling and Simulation, Control and Systems Engineering, Statistics and Probability, Computer Science (all)",2016-2021,Universidad del Cauca,Grupo de Ingeniería Telemática
208,Jennifer Erazo Martínez,Martínez J.,57191035791,9-s2.0-57191035791,"",4,13/09/2016,5,5,1,10,update,"Condensed Matter Physics, Ceramics and Composites, Materials Science (all), Chemistry (all), Engineering (all), Process Chemistry and Technology, Surfaces, Coatings and Films, Materials Chemistry, Electronic, Optical and Magnetic Materials",2015-2020,Universidad del Cauca,Laboratorio de Bajas Temperaturas
209,Jeronimo Londoño,Londoño J.,57190874172,9-s2.0-57190874172,0000-0002-6572-3715,4,02/09/2016,8,8,1,9,update,"Artificial Intelligence, Electrical and Electronic Engineering, Hardware and Architecture, Computer Networks and Communications, Control and Optimization, Biomedical Engineering",2016-2018,Universidad del Cauca,Department of Electronics
210,Juan Sebastián Rojas,Rojas J.,57190188696,9-s2.0-57190188696,0000-0001-8356-5805,4,20/07/2016,22,27,3,5,update,"Computer Science (all), Engineering (all), Materials Science (all), Theoretical Computer Science",2016-2020,Universidad del Cauca,Telematics Engineering Research Group
211,Víctor Alfonso Cerón-Hernández,Cerón-Hernández V.,57189380977,9-s2.0-57189380977,"",4,03/06/2016,18,18,2,37,update,"Geography, Planning and Development, Management, Monitoring, Policy and Law, Engineering (all), Nature and Landscape Conservation, Oceanography, Aquatic Science, Global and Planetary Change, Agricultural and Biological Sciences (miscellaneous), Ecology",2016-2020,"Universidad del Valle, Cali, Universidad del Cauca","Instituto Cinara,  "
212,Fabinton Sotelo Gómez,Gómez F.,57188859820,9-s2.0-57188859820,"",4,28/04/2016,1,1,1,6,update,"Education, Computer Science (miscellaneous), Software, Computer Science (all), Information Systems",2015-2020,Universidad del Cauca,Telematics Department
213,Margarita del Rosario Salazar Sánchez,Salazar Sánchez M.,57188582383,9-s2.0-57188582383,0000-0002-3636-2922,4,10/04/2016,22,23,2,12,update,"Agricultural and Biological Sciences (miscellaneous), Pharmacology, Toxicology and Pharmaceutics (miscellaneous), Applied Microbiology and Biotechnology, Biochemistry, Engineering (all), Environmental Science (miscellaneous), Molecular Biology, Biochemistry, Genetics and Molecular Biology (miscellaneous), Structural Biology, Food Science",2016-2020,Universidad del Cauca,""
214,Jhon Jairo Palechor-Tróchez,Palechor-Tróchez J.,57188579705,9-s2.0-57188579705,0000-0003-4756-2812,4,10/04/2016,3,3,1,8,update,"Biochemistry, Structural Biology, Food Science, Applied Microbiology and Biotechnology, Molecular Biology, Materials Science (all), Pharmacology, Toxicology and Pharmaceutics (miscellaneous), Engineering (all)",2016-2021,Universidad del Cauca,Agroindustry Department
215,Álvaro R. Restrepo-Garcés,Restrepo-Garcés Á.,57148483300,9-s2.0-57148483300,"",4,11/03/2016,20,22,3,4,update,"Strategy and Management, Electrical and Electronic Engineering, Computer Science Applications, Geotechnical Engineering and Engineering Geology, Energy (all), Engineering (all), Food Science, Industrial and Manufacturing Engineering, Computer Science (all)",2016-2018,Universidad del Cauca,Facultad de Ingeniería Electrónica y Telecomunicaciones
216,Claudia Milena Hernández,Hernández C.,56890425500,9-s2.0-56890425500,"",4,14/10/2015,6,6,2,12,update,"Software, Biomedical Engineering, Applied Microbiology and Biotechnology, Communication, Bioengineering, Engineering (all), Biotechnology, Electrical and Electronic Engineering, Computer Networks and Communications",2014-2020,Universidad del Cauca,Department of Telecommunications
217,Alejandra I. Guerrero,Guerrero A.,56673636400,9-s2.0-56673636400,"",4,17/06/2015,20,29,2,3,update,"Statistical and Nonlinear Physics, Electronic, Optical and Magnetic Materials, Statistics and Probability, Condensed Matter Physics",2015-2020,Universidad del Cauca,Grupo CYTEMAC
218,Santiago Guerrero Narváez,Narváez S.,56245618800,9-s2.0-56245618800,"",4,16/07/2014,19,19,3,8,update,"Psychiatry and Mental Health, Biomedical Engineering, Health Information Management, Health Informatics, Psychology (all), Computer Science (all)",2014-2020,Universidad del Cauca,""
219,Augusto Muñoz-Caicedo,Muñoz-Caicedo A.,56145653400,9-s2.0-56145653400,0000-0002-0570-5558,4,14/05/2014,6,6,2,7,update,"Health Policy, Medicine (all), Health Information Management, Public Health, Environmental and Occupational Health, Epidemiology",2013-2020,Universidad del Cauca,Magister en Salud Publics
220,Juan Carlos Casas-Zapata,Casas-Zapata J.,55557526500,9-s2.0-55557526500,0000-0003-3796-237X,4,24/01/2013,27,28,4,23,update,"Food Science, Pollution, Ecological Modeling, Industrial and Manufacturing Engineering, Environmental Engineering, Civil and Structural Engineering, Chemistry (all), Water Science and Technology, Waste Management and Disposal, Chemical Engineering (all)",2013-2020,Universidad del Cauca,Grupo de Ciencia e Ingeniería en Sistemas Ambientales
221,Óscar Eduardo Castro-Delgado,Castro-Delgado Ó.,55531209800,9-s2.0-55531209800,"",4,26/12/2012,23,24,3,9,update,"Pediatrics, Perinatology and Child Health, Surgery, Critical Care and Intensive Care Medicine, Emergency Medicine, Anesthesiology and Pain Medicine",2013-2016,Universidad del Cauca,Programa de Pediatría
222,Carlos Alberto Ospina,Ospina C.,55236413800,9-s2.0-55236413800,0000-0001-7911-8287,4,07/06/2012,4,4,1,14,update,"Computational Theory and Mathematics, Computer Science (all), Space and Planetary Science, Geology, Physics and Astronomy (all), Modeling and Simulation",2012-2020,Universidad del Cauca,""
223,E. H. Pérez,Pérez E.,54949026400,9-s2.0-54949026400,0000-0002-4169-0082,4,23/02/2012,2,2,1,9,update,"Sociology and Political Science, Economics and Econometrics, Management, Monitoring, Policy and Law, Chemistry (all), Law",2010-2021,Universidad del Cauca,Department of Chemistry
224,Carlos Augusto Andrade-Eraso,Andrade-Eraso C.,54911905100,9-s2.0-54911905100,0000-0001-9772-3421,4,19/02/2012,7,7,1,9,update,"Electronic, Optical and Magnetic Materials, Condensed Matter Physics, Applied Mathematics, Electrical and Electronic Engineering, Computer Science Applications, Bioengineering, Physics and Astronomy (all), Biomedical Engineering",2011-2015,Universidad del Cauca,""
225,Javier A. Hurtado,Hurtado J.,24476507300,9-s2.0-24476507300,0000-0001-5101-3045,4,07/08/2008,19,19,2,8,update,"Computer Science Applications, Electrical and Electronic Engineering, Control and Systems Engineering, Software, Computer Science (all), Engineering (all)",2005-2007,Universidad del Cauca,Grupo de Ingeniería Telemática
226,Deibar René Hurtado Herrera,Hurtado Herrera D.,24467811000,9-s2.0-24467811000,"",4,01/08/2008,7,7,1,3,update,Education,2007-2013,Universidad del Cauca,Exactas y de la Educación
228,Juan Carlos Caicedo-Caicedo,Caicedo-Caicedo J.,8975415700,9-s2.0-8975415700,"",3,02/12/2005,19,19,2,10,update,"Surgery, Critical Care and Intensive Care Medicine, Emergency Medicine",1990-2013,Universidad del Cauca,Clinical Epidemiology Unit
229,M. Patiño,Patiño M.,8394219400,9-s2.0-8394219400,"",3,28/11/2005,0,0,0,4,update,"Electrical and Electronic Engineering, Condensed Matter Physics",2004-2004,Universidad del Cauca,Department of Physics
230,Jaury León-Téllez,León-Téllez J.,8384244100,9-s2.0-8384244100,"",3,29/11/2005,4,4,1,8,update,"Electronic, Optical and Magnetic Materials, Applied Mathematics, Computer Science Applications, Electrical and Electronic Engineering, Condensed Matter Physics",2004-2011,Universidad del Cauca,""
231,Gloria Ávila,Ávila G.,7004960133,9-s2.0-7004960133,"",3,28/11/2005,8,8,1,12,update,"Infectious Diseases, Immunology, Microbiology (medical), Microbiology",2002-2014,"Centro Colombiano de Investigación en Tuberculosis (CCITB), Universidad del Cauca"," , Department of Pathology"
232,Alvaro José Negret,Negret A.,6603328991,9-s2.0-6603328991,"",3,28/11/2005,92,108,3,4,update,"Earth and Planetary Sciences (miscellaneous), Earth-Surface Processes, Paleontology, Earth and Planetary Sciences (all), Plant Science",1998-2001,Universidad del Cauca,Museo de Historia Natural
233,Omaira Ceballos,Ceballos O.,6602134399,9-s2.0-6602134399,"",3,02/12/2005,10,10,2,11,update,"",2002-2005,Universidad del Cauca,Department of Internal Medicine
234,Consuelo Montes-R,Montes-R C.,6506638205,9-s2.0-6506638205,0000-0002-8117-9465,3,02/12/2005,77,77,3,1,update,"Horticulture, Physiology, Ecology, Evolution, Behavior and Systematics, Applied Mathematics, Agronomy and Crop Science, Statistics, Probability and Uncertainty, Plant Science, Ecology",1993-2005,Universidad del Cauca,""
235,Juan Carlos Argoti,Argoti J.,6504750067,9-s2.0-6504750067,0000-0003-0288-3815,3,02/12/2005,34,34,3,12,update,"Chemistry (all), Nutrition and Dietetics, Biotechnology, Molecular Medicine, Molecular Biology, Food Science, Organic Chemistry, Bioengineering, Agronomy and Crop Science, Biochemistry",1998-2013,Universidad del Cauca,""
236,Ginna Cabra-Bautista,Cabra-Bautista G.,57222091713,9-s2.0-57222091713,"",3,02/03/2021,1,1,1,10,update,"Biochemistry, Genetics and Molecular Biology (all), Public Health, Environmental and Occupational Health, Medicine (all), Epidemiology, Health Policy",2021-2021,Universidad del Cauca,Department of Pediatrics
237,Germán Cuervo-Ochoa,Cuervo-Ochoa G.,57220211974,9-s2.0-57220211974,"",3,11/12/2020,0,0,0,7,update,"History and Philosophy of Science, Energy (all), Materials Chemistry, Chemistry (all), Biochemistry, Genetics and Molecular Biology (all), Mathematics (all), Physics and Astronomy (all), Filtration and Separation, Agricultural and Biological Sciences (all), Analytical Chemistry, Polymers and Plastics, Earth and Planetary Sciences (all)",2020-2021,Universidad del Cauca,Department of Chemistry
238,Andrea Pabón-Guerrero,Pabón-Guerrero A.,57219625073,9-s2.0-57219625073,"",3,01/11/2020,0,0,0,4,update,"Media Technology, Engineering (all), Modeling and Simulation, Computer Science (all)",2019-2020,Universidad del Cauca,""
239,Lily Marcela Palacios,Palacios L.,57217120108,9-s2.0-57217120108,"",3,17/06/2020,1,1,1,6,update,"Management, Monitoring, Policy and Law, Education, Geography, Planning and Development, Cultural Studies, Engineering (all), Social Psychology",2020-2020,Universidad del Cauca,""
240,Camilo Ernesto Sarmiento Torres,Torres C.,57216931286,9-s2.0-57216931286,"",3,31/05/2020,3,3,1,6,update,"Medicine (all), Computer Science (all), Nursing (all), Theoretical Computer Science",2020-2020,Universidad del Cauca,""
241,Juan Carlos Aguirre García,García J.,57216556458,9-s2.0-57216556458,"",3,01/05/2020,0,0,0,1,update,"Arts and Humanities (all), Philosophy, Health (social science), Physical Therapy, Sports Therapy and Rehabilitation",2013-2021,Universidad del Cauca,""
242,Oscar Santiago López Erazo,Erazo O.,57215580561,9-s2.0-57215580561,"",3,17/03/2020,1,1,1,6,update,"Modeling and Simulation, Education, Computer Science Applications, Media Technology, Computer Science (all)",2019-2021,Universidad del Cauca,Facultad de Ingeniería Electrónica y Telecomunicaciones
243,Carlos David Rodriguez-Pabon,Rodriguez-Pabon C.,57214226809,9-s2.0-57214226809,"",3,01/02/2020,4,4,2,11,update,"Horticulture, Computer Science Applications, Biochemistry, Genetics and Molecular Biology (all), Agronomy and Crop Science, Plant Science, Food Science, Medicine (all), Immunology and Microbiology (all), Soil Science, Pharmacology, Toxicology and Pharmaceutics (all), Forestry",2018-2021,Universidad del Cauca,Telematics Engineering Department
244,Jorge Muñoz,Muñoz J.,57211910461,9-s2.0-57211910461,"",3,26/11/2019,3,3,1,4,update,"Computer Science (all), Computer Science Applications, Education",2019-2021,Universidad del Cauca,Facultad de Ingeniería Electrónica y Telecomunicaciones
245,Andrés Felipe Erazo-Narváez,Erazo-Narváez A.,57211282365,9-s2.0-57211282365,"",3,18/10/2019,2,2,1,8,update,"Molecular Biology, Obstetrics and Gynecology, Medicine (all), Endocrinology, Genetics",2019-2020,Universidad del Cauca,""
246,Nancy Molano-Tobar,Molano-Tobar N.,57209979424,9-s2.0-57209979424,0000-0003-1953-4101,3,23/07/2019,1,1,1,6,update,"Physical Therapy, Sports Therapy and Rehabilitation, Mathematics (all), Agricultural and Biological Sciences (all), Health (social science), Orthopedics and Sports Medicine, Energy (all), Biochemistry, Genetics and Molecular Biology (all), Earth and Planetary Sciences (all), Chemistry (all), Physics and Astronomy (all), History and Philosophy of Science, Education",2019-2021,Universidad del Cauca,Recreación y Deportes
247,Andrés José Castrillón-Muñoz,Castrillón-Muñoz A.,57209510030,9-s2.0-57209510030,0000-0001-7670-8847,3,02/07/2019,10,21,3,4,update,"Agricultural and Biological Sciences (all), Food Science, Industrial and Manufacturing Engineering, Tourism, Leisure and Hospitality Management, Multidisciplinary, Strategy and Management, Chemical Engineering (all), Economics and Econometrics, Geotechnical Engineering and Engineering Geology, Business, Management and Accounting (all), Chemistry (all), Energy (all), Computer Science Applications, Management, Monitoring, Policy and Law, Materials Science (all), Computer Science (all), Management of Technology and Innovation",2019-2020,Universidad del Cauca,Departamento de Ciencias del Turismo
248,Caterine Daza Gómez,Gómez C.,57204103427,9-s2.0-57204103427,"",3,13/10/2018,22,23,3,2,update,"Surfaces, Coatings and Films, Materials Chemistry, Condensed Matter Physics, Ceramics and Composites, Surfaces and Interfaces, Materials Science (all)",2015-2019,Universidad del Cauca,Department of Physics
249,Jose Eduardo Gomez,Gomez J.,57204053440,9-s2.0-57204053440,"",3,11/10/2018,2,2,1,7,update,"Computer Science Applications, Computer Science (all), Theoretical Computer Science, Artificial Intelligence",2017-2018,Universidad del Cauca,""
296,Alexei Bernardo Rojas,Rojas A.,36441787900,9-s2.0-36441787900,"",3,03/09/2010,2171,2570,2,519,update,"Medicine (all), Surgery",2010-2021,Universidad del Cauca,Department of Surgery
462,Fabián Hoyos,Hoyos F.,55332240800,9-s2.0-55332240800,"",2,17/08/2012,2,2,1,4,update,"Computer Networks and Communications, Anthropology, Education",2012-2015,Universidad del Cauca,Depto. de Telemática
250,Juan Rincon-Patino,Rincon-Patino J.,57204009731,9-s2.0-57204009731,"",3,05/10/2018,13,13,3,3,update,"Medicine (all), Geography, Planning and Development, Biochemistry, Genetics and Molecular Biology (all), Immunology and Microbiology (all), Management, Monitoring, Policy and Law, Pharmacology, Toxicology and Pharmaceutics (all), Renewable Energy, Sustainability and the Environment",2018-2018,Universidad del Cauca,Grupo de Ingeniería Telemática
251,Jhan Sebastián Saavedra-Torres,Saavedra-Torres J.,57202088180,9-s2.0-57202088180,"",3,24/05/2018,0,0,0,9,update,Medicine (all),2018-2019,"Universidad del Cauca, Neuroscience Research Seedbed","Faculty of Health Sciences, Del Lab al Campo"
252,Juan Pablo S. Hoyos,Hoyos J.,57201905094,9-s2.0-57201905094,"",3,11/05/2018,1,1,1,3,update,"Instrumentation, Strategy and Management, Computer Networks and Communications, Energy Engineering and Power Technology, Geotechnical Engineering and Engineering Geology, Computer Vision and Pattern Recognition, Control and Optimization, Process Chemistry and Technology, Industrial and Manufacturing Engineering, Food Science, Computer Science Applications, Artificial Intelligence, Energy (all)",2017-2020,Universidad del Cauca,Facultad de Ingeniería Electrónica y Telecomunicaciones
253,Nasly Delgado,Delgado N.,57200702744,9-s2.0-57200702744,0000-0002-4674-5396,3,24/02/2018,75,76,3,8,update,"Agricultural and Biological Sciences (all), Waste Management and Disposal, Environmental Chemistry, Civil and Structural Engineering, Water Science and Technology, Management, Monitoring, Policy and Law, Ecological Modeling, Pollution, Environmental Engineering",2019-2020,Universidad del Cauca,""
254,Sandra Jimena Jácome,Jácome S.,57200450955,9-s2.0-57200450955,0000-0001-6605-8377,3,09/02/2018,2,2,1,9,update,"Health Information Management, Medicine (all), Nutrition and Dietetics, Library and Information Sciences, Biochemistry, Genetics and Molecular Biology (all), Medicine (miscellaneous), Health Policy",2017-2020,Universidad del Cauca,Grupo de Movimiento Corporal Humano y Calidad de Vida
255,Jaime Alexander Molina-Bolaños,Molina-Bolaños J.,57200114632,9-s2.0-57200114632,"",3,04/01/2018,0,0,0,17,update,Medicine (all),2017-2019,Universidad del Cauca,Facultad de Ciencias de la Salud
256,Luis Reinel Vásquez-Arteaga,Vásquez-Arteaga L.,57199328386,9-s2.0-57199328386,"",3,19/12/2017,8,8,1,8,update,"Medicine (all), Biochemistry, Genetics and Molecular Biology (all)",2017-2021,Universidad del Cauca,Department of Internal Medicine
257,Raúl Cortés-Landázury,Cortés-Landázury R.,57198491595,9-s2.0-57198491595,0000-0003-2923-0523,3,09/12/2017,1,1,1,1,update,"Finance, Economics, Econometrics and Finance (all), Social Sciences (miscellaneous), Environmental Science (all), Arts and Humanities (miscellaneous), Statistics, Probability and Uncertainty, Business, Management and Accounting (all), Economics and Econometrics, Education",2006-2017,Universidad del Cauca,""
258,Oscar Ricardo Valencia,Valencia O.,57197758835,9-s2.0-57197758835,"",3,25/11/2017,8,8,2,5,update,"Theoretical Computer Science, Control and Systems Engineering, Computer Science (all)",2017-2018,Universidad del Cauca,Grupo de Ingeniería Telemática
259,Liseth Viviana Campo,Campo L.,57197756624,9-s2.0-57197756624,"",3,25/11/2017,5,5,1,5,update,"Computer Science (all), Engineering (all), Computer Science Applications, Control and Systems Engineering, Artificial Intelligence",2018-2020,Universidad del Cauca,Telematics Engineering Research Group
260,Julio César Luna,Luna J.,57196978693,9-s2.0-57196978693,"",3,18/11/2017,14,16,2,6,update,"Theoretical Computer Science, Engineering (all), Materials Science (all), Computer Science (all)",2016-2020,"Grupo de Investigación CreaTIC, Universidad del Cauca","Clúster CreaTIC, Departamento de Sistemas"
261,Edgar Ruano,Ruano E.,57195491304,9-s2.0-57195491304,"",3,02/09/2017,13,15,2,7,update,"Computer Science (all), Theoretical Computer Science, Software",2017-2018,Universidad del Cauca,Information Technology Research Group (GTI)
262,Edward Molina,Molina E.,57195062487,9-s2.0-57195062487,"",3,26/07/2017,17,17,2,10,update,"Medicine (all), Computer Science (all), Nursing (all), Theoretical Computer Science, Mathematics (all)",2017-2020,Universidad del Cauca,Telematics Department
263,Diego Fernando Hoyos-Samboní,Hoyos-Samboní D.,57194701310,9-s2.0-57194701310,"",3,11/07/2017,1,1,1,9,update,Medicine (all),2017-2020,"Universidad del Cauca, Hospital San Vicente de Paul-Servicio de Urgencias","Centro de Estudios en Microbiología y Parasitología CEMPA,  "
264,Jazmín Calvache-Muñoz,Calvache-Muñoz J.,57194472015,9-s2.0-57194472015,"",3,16/06/2017,64,67,3,6,update,"Chemical Engineering (miscellaneous), Process Chemistry and Technology, Colloid and Surface Chemistry, Pollution, Surfaces and Interfaces, Polymers and Plastics, Waste Management and Disposal, Materials Chemistry, Physical and Theoretical Chemistry",2017-2019,Universidad del Cauca,Department of Physics
265,Germán Antonio Arboleda-Muñoz,Arboleda-Muñoz G.,57194172063,9-s2.0-57194172063,"",3,21/05/2017,0,0,0,5,update,"Management Science and Operations Research, Engineering (all), Management, Monitoring, Policy and Law, Business and International Management, Geography, Planning and Development, Management of Technology and Innovation",2017-2020,Universidad del Cauca,Faculty of Agricultural Sciences
266,Diego Fabian Duran Dorado,Dorado D.,57192642836,9-s2.0-57192642836,"",3,02/01/2017,1,1,1,7,update,"Human-Computer Interaction, Music, Media Technology, Education, Computer Science Applications",2016-2016,Universidad del Cauca,Departamento de Telemática
267,Janh Sebastián Saavedra-Torres,Saavedra-Torres J.,57190425197,9-s2.0-57190425197,"",3,05/08/2016,2,2,1,6,update,Medicine (all),2016-2018,"Universidad del Cauca, Universidad del Cauca","Department of Pediatrics, Facultad de Ciencias de la Salud"
268,Edwin Ferney Castillo,Castillo E.,57190186052,9-s2.0-57190186052,"",3,20/07/2016,10,10,2,7,update,"Theoretical Computer Science, Computer Science (all), Management Information Systems, Information Systems and Management, Statistics, Probability and Uncertainty, Computer Networks and Communications",2016-2020,Universidad del Cauca,Telematics Department
269,Charic Daniel Farinango,Farinango C.,57188690630,9-s2.0-57188690630,"",3,18/04/2016,19,19,3,7,update,"Computer Science (all), Psychiatry and Mental Health, Nursing (all), Medicine (all), Psychology (all), Electrical and Electronic Engineering",2015-2018,Universidad del Cauca,Telematics Engineering Research Group
270,Juan Pablo Caicedo,Caicedo J.,57188626875,9-s2.0-57188626875,"",3,12/04/2016,15,15,2,9,update,"Internal Medicine, Surgery, Critical Care and Intensive Care Medicine, Anesthesiology and Pain Medicine, Emergency Medicine, Radiology, Nuclear Medicine and Imaging",2016-2020,Universidad del Cauca,Department of Anesthesiology
271,José Rafael Rosero Morales,Rosero Morales J.,57188586591,9-s2.0-57188586591,"",3,10/04/2016,1,1,1,1,update,"History and Philosophy of Science, Philosophy, Arts and Humanities (all), Social Sciences (all), Political Science and International Relations, Sociology and Political Science",2015-2020,Universidad del Cauca,Departamento de Filosofía
493,Sulma Muñoz,Muñoz S.,8455100700,9-s2.0-8455100700,"",1,02/12/2005,6,6,1,2,update,"",2004-2004,Universidad del Cauca,Facultad de Ciencias de la Salud
