nombre,nombre_index,autor_id,eid,orcid,documentos,fecha_creacion,documentos_citados,citaciones,h_index,co_autores,estado,areas,rango_publicacion,institucion,affil_id,departamento
Alexei Bernardo Rojas,Rojas A.,36441787900,9-s2.0-36441787900,,4,03/09/2010,2583,3055,3,528,update,"Medicine (all), Surgery",2010-2021,Universidad del Cauca,104717534,Department of Surgery
Jhoan Anacona,Anacona J.,57222135937,9-s2.0-57222135937,,1,03/03/2021,0,0,0,4,new,Computer Science (all),2020-2020,Fundacion Universitaria de Popayán,118671342,Intelligent Management Systems
Jazmín Gómez,Gómez J.,57220100889,9-s2.0-57220100889,,1,04/12/2020,0,0,0,2,new,Computer Science (all),2020-2020,Corporación Universitaria Comfacauca - Unicomfacauca,117305237,
Nohelia Cajas-Salazar,Cajas-Salazar N.,6603431441,9-s2.0-6603431441,0000-0003-3157-7251,15,01/12/2005,432,492,11,57,update,"Environmental Science (all), Cultural Studies, Archeology (arts and humanities), Epidemiology, Anatomy, Pollution, Medical Laboratory Technology, Anthropology, Genetics, Molecular Biology, Neuroscience (all), Toxicology, Environmental Chemistry, History, Cancer Research, Medicine (all), Public Health, Environmental and Occupational Health, Genetics (clinical), Health, Toxicology and Mutagenesis",1998-2020,Universidad del Cauca,60051434,
Angélica L. Astaiza-Puerta,Astaiza-Puerta A.,57325027200,9-s2.0-57325027200,,2,11/11/2021,0,0,0,8,update,"Medicine (all), Community and Home Care, Public Health, Environmental and Occupational Health, Health Professions  (miscellaneous), Health Policy, Health (social science)",2020-2021,Universidad del Cauca,60051434,
Jhonn Pablo Rodríguez,Rodríguez J.,57195324441,9-s2.0-57195324441,,7,16/08/2017,39,45,3,11,update,"Computer Vision and Pattern Recognition, Computer Science (all), Forestry, Modeling and Simulation, Software, Electrical and Electronic Engineering, Information Systems, Signal Processing, Computer Science Applications, Mechanics of Materials, Control and Systems Engineering, Theoretical Computer Science, Biomaterials, Horticulture, Artificial Intelligence, Agronomy and Crop Science",2017-2022,Universidad del Cauca,60051434,
Jesús Andrés Burbano-Gómez,Burbano-Gómez J.,58045495700,9-s2.0-58045495700,,1,12/01/2023,0,0,0,1,new,"Economics, Econometrics and Finance (all), Business and International Management, Business, Management and Accounting (all), Economics and Econometrics",2023-2023,Universidad del Cauca,119855198,Department of Economics
Cristian Reinaldo Obando Valencia,Valencia C.,57575938600,9-s2.0-57575938600,,1,21/04/2022,0,0,0,4,new,"Infectious Diseases, Parasitology",2021-2021,Universidad del Cauca,114232401,Faculty of Health Sciences
Andrés Javier Quiroga,Quiroga A.,12765588700,9-s2.0-12765588700,0000-0001-8694-4472,6,16/03/2006,96,105,5,20,update,"Gastroenterology, Medicine (all), Biochemistry, Genetics and Molecular Biology (all)",2005-2017,"Universidad del Cauca, Fundación InnovaGen","104717555, 114526629","Grupo de Investigación en Genética Humana Aplicada,  "
Juliana M. Rivera,Rivera J.,16022953500,9-s2.0-16022953500,,1,14/03/2007,10,10,1,2,update,Insect Science,2005-2005,Fundación Universitaria de,102894863,Programa de Ecología
F. A. Muñoz,Muñoz F.,57198285656,9-s2.0-57198285656,0000-0001-5905-5266,1,07/12/2017,40,40,1,3,update,"Nature and Landscape Conservation, Management, Monitoring, Policy and Law, Environmental Engineering",2011-2011,Universidad del Cauca,112325747,Environmental Studies Group
Diógenes Patiño C,Patiño C D.,57201643237,9-s2.0-57201643237,,2,21/04/2018,6,6,1,2,update,"Anthropology, Earth-Surface Processes",2019-2020,Universidad del Cauca,60051434,
José Figueroa-Martinez,Figueroa-Martinez J.,50361311800,9-s2.0-50361311800,,7,25/09/2011,12,15,2,8,update,"Software, Electrical and Electronic Engineering, Computer Networks and Communications, Computer Science (all), Computer Vision and Pattern Recognition, Theoretical Computer Science, Human-Computer Interaction",2010-2014,Universidad del Cauca,60051434,
Luis Cruz-Ordonez,Cruz-Ordonez L.,57204417566,9-s2.0-57204417566,,1,02/11/2018,1,1,1,2,new,Computer Science (all),2018-2018,Universidad del Cauca,104717552,Departamento de Telemática
Santiago Eduardo Pabón-Guerrero,Pabón-Guerrero S.,57225045712,9-s2.0-57225045712,,1,08/07/2021,0,0,0,3,new,Engineering (all),2021-2021,Universidad del Cauca,104717528,Department of Chemistry
Mario F. Sarasty,Sarasty M.,57219724818,9-s2.0-57219724818,,1,07/11/2020,15,15,1,3,new,"Education, Computer Science Applications",2020-2020,Universidad del Cauca,104717554,Telematics Department
C. A. Rincón,Rincón C.,57210248900,9-s2.0-57210248900,,7,07/08/2019,258,273,5,20,update,"Surfaces and Interfaces, Surfaces, Coatings and Films, Condensed Matter Physics, Materials Science (all), Physics and Astronomy (all)",2000-2014,Universidad del Cauca,108661909,Grupo de Física de bajas temperaturas (FISBATEM)
Juliana Muñoz-Martínez,Muñoz-Martínez J.,57188647648,9-s2.0-57188647648,,1,16/04/2016,25,25,1,2,update,"Public Health, Environmental and Occupational Health",2007-2007,Universidad del Cauca,104717546,Facultad de Ciencias de la Salud
L. Vargas,Vargas L.,57535235500,9-s2.0-57535235500,,1,28/03/2022,0,0,0,2,new,"Education, Computer Networks and Communications, Computer Science Applications, Human-Computer Interaction",2019-2019,University Foundation of Popayán,116513678,
Oscar Andrés Vivas-Albán,Vivas-Albán O.,55664634200,9-s2.0-55664634200,0000-0001-5381-8234,36,09/05/2013,257,293,8,52,update,"Engineering (all), Radiology, Nuclear Medicine and Imaging, Mechanical Engineering, Biomaterials, Mathematics (all), Health Information Management, Software, Computer Vision and Pattern Recognition, Building and Construction, Health Informatics, Information Systems and Management, Medicine (miscellaneous), Computer Science (all), Electrical and Electronic Engineering, Safety, Risk, Reliability and Quality, Computer Graphics and Computer-Aided Design, Artificial Intelligence, Human-Computer Interaction, Biomedical Engineering, Control and Optimization, Chemical Health and Safety, Decision Sciences (miscellaneous), Computer Science (miscellaneous), Computer Science Applications, Control and Systems Engineering, Industrial and Manufacturing Engineering, Signal Processing",2003-2022,Universidad del Cauca,60051434,
M. L. Burbano-Garcés,Burbano-Garcés M.,56419952000,9-s2.0-56419952000,,1,28/11/2014,8,8,1,2,update,Forestry,2014-2014,Universidad del Cauca,60051434,
Jhon Edisson Bucheli Imbachi,Bucheli Imbachi J.,57188585782,9-s2.0-57188585782,,1,10/04/2016,1,1,1,3,update,"Biotechnology, Bioengineering, Food Science, Applied Microbiology and Biotechnology, Pharmacology, Toxicology and Pharmaceutics (all)",2016-2016,Universidad del Cauca,60051434,
Diana Maria Martinez Ceron,Ceron D.,57196058828,9-s2.0-57196058828,,2,21/10/2017,11,11,1,11,update,Cardiology and Cardiovascular Medicine,2017-2019,"Universidad del Cauca, Universidade Federal Fluminense","122436003, 113608435","Departamento de Medicina Social y Salud Familiar, Department of Biostatistics and Epidemiology"
Alejandro Arboleda,Arboleda A.,52863128500,9-s2.0-52863128500,,1,18/10/2011,23,23,1,16,update,"Ecology, Evolution, Behavior and Systematics",2017-2017,Universidad del Cauca,60051434,
J. F. Higidio-Castro,Higidio-Castro J.,57195335613,9-s2.0-57195335613,,1,17/08/2017,3,3,1,1,new,Engineering (all),2017-2017,Universidad del Cauca,60051434,
Alonso A. Ruiz,Ruiz A.,56780930900,9-s2.0-56780930900,,2,22/08/2015,5,5,1,4,update,"Biomedical Engineering, Health Information Management, Health Informatics",2015-2020,Universidad del Cauca,104717538,Faculty of Medicine
Ch Yeison Mauricio Rengifo,Yeison Mauricio Rengifo C.,57215078398,9-s2.0-57215078398,,1,03/03/2020,0,0,0,3,new,Computer Science (all),2020-2020,Institución Universitaria Colegio Mayor del Cauca,113372863,
Raquel Amalia Vélez-Tobar,Vélez-Tobar R.,58142380200,9-s2.0-58142380200,,1,21/03/2023,8,8,1,2,new,"Public Health, Environmental and Occupational Health, Health Professions  (miscellaneous), Health (social science), Health Policy, Community and Home Care",2019-2019,Universidad del Cauca,60051434,
Lucy Bravo-Luna,Bravo-Luna L.,57653530900,9-s2.0-57653530900,,1,10/05/2022,0,0,0,1,update,Medicine (all),2022-2022,Universidad del Cauca,128379751,Instituto Nacional de Cancerología
Edison Benavides-Hernández,Benavides-Hernández E.,57193774465,9-s2.0-57193774465,,1,20/10/2018,3,3,1,5,update,"Public Health, Environmental and Occupational Health, Health Policy",2018-2018,Universidad del Cauca,109510232,Department of Anesthesiology
D. Ramos,Ramos D.,57196543365,9-s2.0-57196543365,,1,17/11/2017,7,7,1,4,new,"Software, Mathematics (all), Computer Science Applications, Control and Systems Engineering",2015-2015,Universidad del Cauca,60051434,
Apolinar Figueroa Casas,Casas A.,57222034045,9-s2.0-57222034045,,1,27/02/2021,11,11,1,2,new,"Geochemistry and Petrology, Geophysics",2021-2021,Universidad del Cauca,104717530,Department of Biology
Diana C. Prado,Prado D.,57216805643,9-s2.0-57216805643,,1,21/05/2020,11,11,1,2,new,"Physical and Theoretical Chemistry, Atomic and Molecular Physics, and Optics, Condensed Matter Physics, Materials Science (all)",2020-2020,Universidad del Cauca,104717527,Department of Physics
Iván Taimal Narváez,Taimal Narváez I.,55341040400,9-s2.0-55341040400,,1,02/09/2012,2,2,1,3,new,Engineering (all),2012-2012,Universidad del Cauca,104717561,Grupo de Ingeniería Telemática
Héctor Mauricio Triana-Murcia,Triana-Murcia H.,57209750519,9-s2.0-57209750519,,1,13/07/2019,0,0,0,7,new,Medicine (all),2019-2019,Hospital Universitario San José,114294946,Department of Anesthesiology
R. A. Jaramillo,Jaramillo R.,7003428099,9-s2.0-7003428099,,1,04/12/2005,0,0,0,0,update,Medicine (all),1977-1977,Universidad del Cauca,104717533,Department of Psychiatry
Adriana Diago Ortiz,Diago Ortiz A.,57221948546,9-s2.0-57221948546,,1,22/02/2021,1,1,1,2,new,"Business, Management and Accounting (all), Geography, Planning and Development",2020-2020,Institución Universitaria Colegio Mayor del Cauca,117795037,
Jose L. Herrera,Herrera J.,57219416864,9-s2.0-57219416864,,12,21/10/2020,33,49,5,5,update,"Applied Mathematics, Mathematics (miscellaneous), Discrete Mathematics and Combinatorics, Computer Science (miscellaneous), Engineering (miscellaneous), Algebra and Number Theory, Mathematics (all)",2019-2022,Universidad del Cauca,104717531,Department of Mathematics
Alfer Leonardo Cerón,Cerón A.,55841262900,9-s2.0-55841262900,,1,09/09/2013,0,0,0,5,update,"Sociology and Political Science, Human-Computer Interaction",2006-2006,CRIC - Consejo Regional Indígena del Cauca,113845992,
Correa A. Arana,Arana C.,56682895800,9-s2.0-56682895800,,2,22/06/2015,2,2,1,3,update,"Artificial Intelligence, Biomaterials, Mechanical Engineering, Health Informatics, Biomedical Engineering, Medicine (miscellaneous)",2014-2021,Universidad del Cauca,126550255,Department of Automation
Zamora G. Hilldier,Hilldier Z.,36996977000,9-s2.0-36996977000,,1,14/03/2011,14,14,1,3,update,"Aquatic Science, Ecology, Water Science and Technology",2010-2010,Universidad del Cauca,110043908,Exactas y de la Educación
Julián Camilo Velásquez,Velásquez J.,57452005600,9-s2.0-57452005600,,1,19/02/2022,2,2,1,3,new,"Critical Care and Intensive Care Medicine, Anesthesiology and Pain Medicine",2021-2021,Universidad del Cauca,104717539,Department of Internal Medicine
Valeria Nastar Córdova,Córdova V.,57218954795,9-s2.0-57218954795,,1,19/09/2020,1,1,1,4,new,"Materials Chemistry, Physical and Theoretical Chemistry, Metals and Alloys, Condensed Matter Physics",2020-2020,Universidad del Cauca,104717527,Department of Physics
Andrés Quiroga-Quiroga,Quiroga-Quiroga A.,57918344100,9-s2.0-57918344100,,1,15/10/2022,0,0,0,5,update,"Gastroenterology, Hepatology",2022-2022,Universidad del Cauca,114497679,Applied Human Genetics Research Group
Edgar Roberto Dulce Villarreal,Roberto Dulce Villarreal E.,57747672300,9-s2.0-57747672300,,1,24/06/2022,2,2,1,4,new,"Safety, Risk, Reliability and Quality, Software, Hardware and Architecture",2022-2022,Universidad del Cauca,105194737,IDIS Research Group
Paulo C. Realpe,Realpe P.,57160506400,9-s2.0-57160506400,,2,17/03/2016,11,12,2,3,update,"Computer Vision and Pattern Recognition, Software, Computer Networks and Communications, Human-Computer Interaction",2015-2016,Universidad del Cauca,105194737,IDIS Research Group
Yanneth López,López Y.,16750530500,9-s2.0-16750530500,,1,17/07/2007,56,56,1,6,update,"Public Health, Environmental and Occupational Health, Environmental Science (all), Environmental Chemistry",1996-1996,Universidad del Cauca,104717530,Department of Biology
Christian Camilo Valencia Colina,Colina C.,57219513999,9-s2.0-57219513999,,1,27/10/2020,1,1,1,1,new,History,2020-2020,Universidad del Cauca,60051434,
Fausto M. Castro,Castro F.,57211157955,9-s2.0-57211157955,,1,08/10/2019,1,1,1,1,new,"Energy (all), Chemical Engineering (all), Business, Management and Accounting (all), Computer Science (all), Materials Science (all), Multidisciplinary, Strategy and Management, Geotechnical Engineering and Engineering Geology, Chemistry (all), Agricultural and Biological Sciences (all), Computer Science Applications, Food Science, Industrial and Manufacturing Engineering",2019-2019,Universidad del Cauca,118647207,GNTT: Grupo de Investigación en Nuevas Tecnologías de Telecomunicaciones
Willy W. Sierra,Sierra W.,56009801600,9-s2.0-56009801600,0000-0003-3303-8032,14,09/02/2014,24,26,3,12,update,"Computational Mathematics, Applied Mathematics, Discrete Mathematics and Combinatorics, Mathematics (all), Analysis, Numerical Analysis, Modeling and Simulation",2013-2022,Universidad del Cauca,104717531,Department of Mathematics
Paola A. Arciniegas-Grijalba,Arciniegas-Grijalba P.,57205366262,9-s2.0-57205366262,,5,14/01/2019,163,179,4,9,update,"Agronomy and Crop Science, Inorganic Chemistry, Condensed Matter Physics, Ceramics and Composites, Biotechnology, Electronic, Optical and Magnetic Materials, Fluid Flow and Transfer Processes, Physical and Theoretical Chemistry, Food Science, Materials Chemistry, Atomic and Molecular Physics, and Optics, Bioengineering, Materials Science (all), Electrical and Electronic Engineering, Catalysis, Applied Microbiology and Biotechnology, Materials Science (miscellaneous), Mechanics of Materials, Cell Biology, Mechanical Engineering",2017-2022,Universidad del Cauca,126219763,Natural and Educational Sciences
Jörg Stamm,Stamm J.,36443114200,9-s2.0-36443114200,,1,03/09/2010,20,20,1,3,update,Earth and Planetary Sciences (all),2006-2006,ECOBAMBOO,109475450,
Jaime Martin Franco,Franco J.,57219336893,9-s2.0-57219336893,0000-0002-5718-0511,2,15/10/2020,2,2,1,6,update,"Chemistry (all), Pharmacology, Toxicology and Pharmaceutics (all), Pharmacology (medical)",2019-2020,Universidad del Cauca,104717528,Department of Chemistry
Maira Salazar Sánchez,Salazar Sánchez M.,57941031000,9-s2.0-57941031000,,1,31/10/2022,0,0,0,5,new,"Critical Care and Intensive Care Medicine, Anesthesiology and Pain Medicine, Critical Care Nursing, Advanced and Specialized Nursing",2022-2022,Hospital Universitario San José,128778365,
Y. T. Solano,Solano Y.,55421010100,9-s2.0-55421010100,,1,30/10/2012,1,1,1,2,update,"Modeling and Simulation, Computational Theory and Mathematics",2012-2012,Universidad del Cauca,106550956,"Grupo de Estudios Ambientales (GEA), Grupo de Óptica y Láser (GOL)"
D. Gongora,Gongora D.,6505501846,9-s2.0-6505501846,,1,02/12/2005,21,21,1,16,update,"Immunology and Allergy, Genetics, Immunology",1995-1995,Guapi Regional Hospital,117676389,
Alex Armando Torres Bérmudez,Armando Torres Bérmudez A.,57420175200,9-s2.0-57420175200,,1,26/01/2022,0,0,0,3,new,"Media Technology, Computer Science Applications, Education",2021-2021,Corporación Universitaria Comfacauca,127609311,Facultad de Ingeniería Corporación
Favián Arenas,Arenas F.,57217167091,9-s2.0-57217167091,,2,23/06/2020,2,2,1,3,update,"Multidisciplinary, Agricultural and Biological Sciences (all), Mathematics (all), Physics and Astronomy (all), History and Philosophy of Science, Biochemistry, Genetics and Molecular Biology (all), Chemistry (all), Energy (all), Earth and Planetary Sciences (all)",2020-2022,Universidad del Cauca,104717531,Department of Mathematics
Karen Zúñiga,Zúñiga K.,57209660953,9-s2.0-57209660953,,2,09/07/2019,3,3,1,3,update,"Software, Computer Graphics and Computer-Aided Design, Computer Science (all), Artificial Intelligence, Computer Networks and Communications",2019-2020,Universidad del Cauca,122801626,Grupo de Investigación GTI
Pedro Astaiza,Astaiza P.,57222009521,9-s2.0-57222009521,,1,27/02/2021,0,0,0,4,new,"Cardiology and Cardiovascular Medicine, Computer Science (all)",2020-2020,Universidad del Cauca,112213444,Faculty of Electronic Engineering and Telecommunications
Gaona J. Sonia,Sonia G.,57212140149,9-s2.0-57212140149,,2,12/12/2019,5,5,1,2,update,"Condensed Matter Physics, Materials Science (all), Electronic, Optical and Magnetic Materials, Mechanics of Materials",2020-2023,Universidad del Cauca,60051434,
Gersain Lozada,Lozada G.,57197763366,9-s2.0-57197763366,,1,25/11/2017,1,1,1,3,new,"Computer Science (all), Control and Systems Engineering",2018-2018,Universidad del Cauca,104717561,Grupo de Ingeniería Telemática
Diana Marcela Ruiz,Ruiz D.,57195275854,9-s2.0-57195275854,0000-0001-8541-7216,1,10/08/2017,5,5,1,3,update,"Waste Management and Disposal, Pollution",2017-2017,Universidad del Cauca,60051434,
Fulvio Yesid Vivas,Vivas F.,57200216553,9-s2.0-57200216553,0000-0003-3695-3578,4,13/01/2018,5,5,1,8,update,"Biochemistry, Process Chemistry and Technology, Signal Processing, Electrical and Electronic Engineering, Computer Science Applications, Fluid Flow and Transfer Processes, Computer Networks and Communications, Atomic and Molecular Physics, and Optics, Information Systems, Analytical Chemistry, Materials Science (all), Information Systems and Management, Engineering (all), Instrumentation",2017-2021,Universidad del Cauca,104717552,Departamento de Telemática
W. Libardo Pantoja,Pantoja W.,55838727100,9-s2.0-55838727100,,1,08/09/2013,3,3,1,2,new,Engineering (all),2013-2013,Universidad del Cauca,60051434,
Eva González Tanco,Tanco E.,57202548023,9-s2.0-57202548023,0000-0003-3226-0846,3,23/06/2018,13,13,1,2,update,"Language and Linguistics, Social Sciences (all), Communication, Arts and Humanities (all), Linguistics and Language",2018-2022,Universidad del Cauca,60051434,
Camilo Segura,Segura C.,57222004098,9-s2.0-57222004098,,1,27/02/2021,0,0,0,4,new,"Cardiology and Cardiovascular Medicine, Computer Science (all)",2020-2020,Universidad del Cauca,112213444,Faculty of Electronic Engineering and Telecommunications
Guillermo Andres Ospina,Ospina G.,11738854600,9-s2.0-11738854600,0000-0002-6387-5440,3,16/02/2006,12,12,1,4,update,"Aquatic Science, Sociology and Political Science, Environmental Science (all), Oceanography, Ecology, Gender Studies, Social Sciences (all), Arts and Humanities (miscellaneous), Ecology, Evolution, Behavior and Systematics, Environmental Chemistry, Cultural Studies, History",2006-2016,Universidad del Cauca,60051434,
Pastor Benavides,Benavides P.,57198811424,9-s2.0-57198811424,,1,11/12/2017,0,0,0,1,new,Computer Science (all),2017-2017,Universidad del Cauca,60051434,
Juliana Vergara-Reyes,Vergara-Reyes J.,57200213953,9-s2.0-57200213953,,1,13/01/2018,12,12,1,3,new,"Computer Networks and Communications, Computer Science Applications, Signal Processing",2017-2017,Universidad del Cauca,104717554,Telematics Department
Ronald Hernández-Hernández,Hernández-Hernández R.,57218586960,9-s2.0-57218586960,,1,26/08/2020,0,0,0,3,new,Medicine (all),2020-2020,Universidad del Cauca,104717546,Facultad de Ciencias de la Salud
Luis Fernando Pedraza Ruiz,Ruiz L.,57372201700,9-s2.0-57372201700,,1,18/12/2021,0,0,0,3,new,"Industrial and Manufacturing Engineering, Strategy and Management, Management Science and Operations Research, Control and Systems Engineering",2021-2021,Popayán University Foundation,127366305,Industrial Engineer and Master in Design and Management of Technological Projects
Claudia Patricia Acevedo,Acevedo C.,57212521940,9-s2.0-57212521940,,2,30/12/2019,12,12,1,4,new,"Industrial and Manufacturing Engineering, Energy (all), Software, Geotechnical Engineering and Engineering Geology, Strategy and Management, Computer Networks and Communications, Food Science, Computer Science Applications",2010-2011,Universidad del Cauca,112213444,Faculty of Electronic Engineering and Telecommunications
Duvernei Ortiz Trujillo,Trujillo D.,57192642728,9-s2.0-57192642728,,1,02/01/2017,1,1,1,4,new,"Education, Computer Science Applications, Human-Computer Interaction",2016-2016,Universidad del Cauca,104717552,Departamento de Telemática
Carlos Augusto Martínez-Mamian,Martínez-Mamian C.,57218900716,9-s2.0-57218900716,,1,16/09/2020,7,7,1,2,new,Engineering (all),2020-2020,Universidad del Cauca,125104588,Grupo de Investigación Nutrición Agropecuaria
Santiago A. Pérez,Pérez S.,57209271923,9-s2.0-57209271923,,2,17/06/2019,5,5,2,3,update,"Biomedical Engineering, Health Information Management, Public Health, Environmental and Occupational Health, Pollution, Health Informatics, Health, Toxicology and Mutagenesis",2019-2020,Universidad del Cauca,104717554,Telematics Department
Luis E. Montoya-Delgado,Montoya-Delgado L.,57199601496,9-s2.0-57199601496,,1,21/12/2017,33,33,1,3,new,"Genetics, Genetics (clinical)",2001-2001,Universidad del Cauca,60051434,
Sandra Milena Rodriguez Álvarez,Milena Rodriguez Álvarez S.,57419301200,9-s2.0-57419301200,,1,26/01/2022,0,0,0,3,new,"Media Technology, Education, Computer Science Applications",2021-2021,Corporación Universitaria Comfacauca,127609311,Facultad de Ingeniería Corporación
F. Correa,Correa F.,7004445345,9-s2.0-7004445345,,1,04/12/2005,0,0,0,4,update,Hematology,1983-1983,Universidad del Cauca,104717547,Departmento de Medicina Interna
Omar Alberto Salinas Cruel,Salinas Cruel O.,57373130800,9-s2.0-57373130800,0000-0002-2646-7632,2,21/12/2021,0,0,0,5,update,"Materials Science (miscellaneous), Multidisciplinary",2021-2022,Universidad del Cauca,104717528,Department of Chemistry
Richard Montoya-Mora,Montoya-Mora R.,57203403438,9-s2.0-57203403438,,1,22/08/2018,1,1,1,4,new,Obstetrics and Gynecology,2018-2018,Universidad del Cauca,104717535,Department of Obstetrics and Gynecology
Carlos David Pabón-Fernández,Pabón-Fernández C.,57202088063,9-s2.0-57202088063,,1,24/05/2018,1,1,1,7,new,Medicine (all),2018-2018,Universidad del Cauca,104717546,Facultad de Ciencias de la Salud
Stefania Arango Cuartas,Cuartas S.,57311775300,9-s2.0-57311775300,,1,02/11/2021,0,0,0,1,new,"Urban Studies, Arts and Humanities (miscellaneous), Geography, Planning and Development",2021-2021,Fundacion Universitaria de Popayán,60108709,
Cesar Collazo,Collazo C.,57202464755,9-s2.0-57202464755,,1,20/06/2018,0,0,0,5,new,"Computer Science (all), Control and Systems Engineering",2018-2018,Universidad del Cauca,104717572,Departamento de Sistemas
Cenayda López,López C.,57196732037,9-s2.0-57196732037,,1,18/11/2017,16,16,1,1,new,"Chemistry (all), Materials Science (all)",2017-2017,Universidad del Cauca,104717556,Grupo CYTEMAC
Deisy Urmendez-M,Urmendez-M D.,57185811500,9-s2.0-57185811500,,1,27/03/2016,11,11,1,2,new,"Conservation, Museology",2015-2015,Universidad del Cauca,60051434,
Leydi M. Vargas Ordoñez,Vargas Ordoñez L.,57215204346,9-s2.0-57215204346,,1,05/03/2020,4,4,1,1,new,"Computer Science Applications, Education",2019-2019,Fundacion Universitaria de Popayán,60108709,
Manuel Cortés Hernández,Cortés Hernández M.,58141813200,9-s2.0-58141813200,,1,21/03/2023,0,0,0,5,new,"Health Policy, Health (social science), Community and Home Care, Public Health, Environmental and Occupational Health, Health Professions  (miscellaneous)",2020-2020,Universidad del Cauca,60051434,
Lizzeth Katherine Walteros Ordoñez,Walteros Ordoñez L.,57189368841,9-s2.0-57189368841,,1,02/06/2016,4,4,1,11,update,"Management Science and Operations Research, Management of Technology and Innovation, Business and International Management",2016-2016,Universidad del Cauca,60051434,
M. P. Echeverri Brando,Echeverri Brando M.,37072190400,9-s2.0-37072190400,,1,29/04/2011,1,1,1,3,new,Surgery,2010-2010,Hospital Universitario San José,110169031,Servicio de Cirugía Plástica
Tatiana Henao-Pabón,Henao-Pabón T.,57226855081,9-s2.0-57226855081,,1,24/08/2021,2,2,1,6,update,"Health Policy, Public Health, Environmental and Occupational Health",2022-2022,Universidad del Cauca,104717536,Department of Pediatrics
Juan Correa Pino Juan Carlos,Juan Carlos J.,37097040100,9-s2.0-37097040100,,2,12/05/2011,2,2,1,1,update,"Social Sciences (all), Arts and Humanities (all), Public Administration",2009-2011,"Universidad de Castilla-La Mancha, ECCO, Universidad del Cauca","60000823, 112246667, 110233760"," ,  , Departamento de Comunicación Social"
Nasly Delgado,Delgado N.,57200702744,9-s2.0-57200702744,0000-0002-4674-5396,4,24/02/2018,159,162,3,8,update,"Agricultural and Biological Sciences (all), Waste Management and Disposal, Chemical Engineering (miscellaneous), Environmental Chemistry, Civil and Structural Engineering, Water Science and Technology, Process Chemistry and Technology, Management, Monitoring, Policy and Law, Ecological Modeling, Environmental Engineering, Pollution",2019-2022,Universidad del Cauca,60051434,
S. Leal,Leal S.,57485275000,9-s2.0-57485275000,,1,19/03/2022,0,0,0,9,update,"Pediatrics, Perinatology and Child Health",2022-2022,Hospital Susana López de Valencia,126290034,
Pedro L. Solarte,Solarte P.,58104402600,9-s2.0-58104402600,,1,21/02/2023,0,0,0,3,new,Computer Science (all),2022-2022,Universidad del Cauca,60051434,
Lía Jasmín Jiménez,Jiménez L.,57225070786,9-s2.0-57225070786,,2,09/07/2021,0,0,0,8,update,Surgery,2021-2022,Universidad del Cauca,127619915,residente en Cirugía General
Diana María Martínez-Cerón,Martínez-Cerón D.,57193309125,9-s2.0-57193309125,,4,21/02/2017,14,14,1,23,update,"Public Health, Environmental and Occupational Health, Cardiology and Cardiovascular Medicine",2017-2020,"Hospital Universitario Antonio Pedro, Universidad del Cauca","117812585, 104717560","Department of Biostatistics and Epidemiology, Department of Social Medicine and Family Health"
Juan Carlos Aguirre García,García J.,57216556458,9-s2.0-57216556458,,4,01/05/2020,1,1,1,1,update,"Arts and Humanities (all), Philosophy, Health (social science), Physical Therapy, Sports Therapy and Rehabilitation, Cultural Studies, Religious Studies",2013-2021,Universidad del Cauca,60051434,
C. Rincón,Rincón C.,57188654033,9-s2.0-57188654033,,1,16/04/2016,26,26,1,6,update,"Surfaces, Coatings and Films, Materials Chemistry, Process Chemistry and Technology, Ceramics and Composites, Electronic, Optical and Magnetic Materials",2016-2016,Universidad del Cauca,104717527,Department of Physics
Erika Liliana Gallego-Gómez,Gallego-Gómez E.,57224972901,9-s2.0-57224972901,,1,02/07/2021,0,0,0,2,new,Engineering (all),2020-2020,Corporación Universitaria Comfacauca,126489416,
Diana Sofía Peña-Tovar,Peña-Tovar D.,57877373800,9-s2.0-57877373800,,1,13/09/2022,0,0,0,2,new,"Health (social science), Physical Therapy, Sports Therapy and Rehabilitation",2022-2022,Universidad del Cauca,60051434,
María Verónica Torres Andrade,Andrade M.,57695473500,9-s2.0-57695473500,,1,26/05/2022,0,0,0,5,new,"Public Health, Environmental and Occupational Health, Health (social science), Medicine (miscellaneous), Emergency Medical Services",2022-2022,Universidad del Cauca,126593158,Department of Physiotherapy
Juan Villavicencio,Villavicencio J.,57223404689,9-s2.0-57223404689,,1,20/05/2021,1,1,1,4,new,Chemistry (all),2021-2021,Universidad del Cauca,113742945,Grupo de Investigación Química de Productos Naturales QPN
John Edward Martínez-Rodríguez,Martínez-Rodríguez J.,57202091340,9-s2.0-57202091340,,3,24/05/2018,5,5,1,17,update,Medicine (all),2018-2019,Hospital Universitario San José,118732985,Unidad de Cuidados Intensivos
Yexania Y. Arboleda-Moreno,Arboleda-Moreno Y.,6506919170,9-s2.0-6506919170,0000-0002-2712-1596,4,02/12/2005,46,47,3,8,update,"Geography, Planning and Development, Environmental Chemistry, Health, Toxicology and Mutagenesis, Genetics, Toxicology, Environmental Science (all), Public Health, Environmental and Occupational Health, Epidemiology, Genetics (clinical)",2004-2008,Universidad del Cauca,104717542,Departamento de Ciencias Fisiológicas
Federico Benitez,Benitez F.,55867594200,9-s2.0-55867594200,,1,07/10/2013,5,5,1,4,update,"Critical Care and Intensive Care Medicine, Anesthesiology and Pain Medicine",2013-2013,"Intensive Care Unit La Estancia Clinic, Universidad del Cauca","113900343, 113901802"," , Department of General Surgery"
