nombre,nombre_index,autor_id,eid,orcid,documentos,fecha_creacion,documentos_citados,citaciones,h_index,co_autores,estado,areas,rango_publicacion,institucion,affil_id,departamento
Magda Rodríguez,Rodríguez M.,57681310100,9-s2.0-57681310100,,1,20/05/2022,4,4,1,2,new,Obstetrics and Gynecology,2009-2009,Universidad del Cauca,104717546,Facultad de Ciencias de la Salud
Milton Ausecha,Ausecha M.,36805630600,9-s2.0-36805630600,,1,26/01/2011,0,0,0,3,new,Engineering (all),2009-2009,Universidad del Cauca,60051434,
Yenni Angélica Conde Cardona,Cardona Y.,57215658677,9-s2.0-57215658677,,1,21/03/2020,3,3,1,2,new,"Economics and Econometrics, Management of Technology and Innovation, Strategy and Management, Business and International Management, Marketing, Finance",2013-2013,Universidad del Cauca,124064105,"Faculty of Accounting, Economics and Management Sciences"
Claudia F. Villaquirán Raigoza,Villaquirán Raigoza C.,55883942000,9-s2.0-55883942000,,2,29/10/2013,1,1,1,7,update,"Mechanics of Materials, Ceramics and Composites, Engineering (all), Industrial and Manufacturing Engineering",2002-2021,Universidad del Cauca,60051434,
B. Fernando Ferreira,Fernando Ferreira B.,35490351100,9-s2.0-35490351100,,1,25/02/2010,0,0,0,4,update,"Microbiology (medical), Materials Science (all), Instrumentation",2010-2010,Universidad del Cauca,108282352,Unidad de Microscopía Electrónica
John Fernandez Ordonez,Ordonez J.,57423029800,9-s2.0-57423029800,,1,28/01/2022,0,0,0,4,new,"Signal Processing, Computer Vision and Pattern Recognition, Instrumentation",2021-2021,Universidad del Cauca,115686071,Grupo GNTT
Pablo Wolfgang Zúñiga-Mera,Zúñiga-Mera P.,57370406300,9-s2.0-57370406300,,1,16/12/2021,0,0,0,4,new,Materials Science (all),2021-2021,Universidad del Cauca,104717527,Department of Physics
S. L. Mera-Jiménez,Mera-Jiménez S.,56563032000,9-s2.0-56563032000,,1,26/03/2015,1,1,1,2,update,"Biomedical Engineering, Bioengineering",2015-2015,Universidad del Cauca,115074267,Department of Phyísics
Claudia Marcela Rojas-Camejo,Rojas-Camejo C.,57201117683,9-s2.0-57201117683,,1,16/03/2018,8,8,1,4,update,"Internal Medicine, Radiology, Nuclear Medicine and Imaging",2018-2018,Universidad del Cauca,109510232,Department of Anesthesiology
Ricardo Benitez,Benitez R.,25824746000,9-s2.0-25824746000,0000-0002-8999-3680,20,29/12/2008,111,112,4,28,update,"Pollution, Chemical Engineering (all), Waste Management and Disposal, Pharmacology (medical), Agricultural and Biological Sciences (all), Food Science, Chemical Engineering (miscellaneous), Multidisciplinary, Structural Biology, Chemistry (all), Biophysics, Process Chemistry and Technology, Polymers and Plastics, Materials Science (miscellaneous), Clinical Biochemistry, Pharmacology, Toxicology and Pharmaceutics (all), Engineering (all), Medicine (all)",2008-2022,Universidad del Cauca,60051434,
Andres Mauricio Gomez-Sanchez,Gomez-Sanchez A.,57198499957,9-s2.0-57198499957,0000-0002-6582-4129,8,09/12/2017,6,6,1,11,update,"Education, Economics and Econometrics, Marketing, Economics, Econometrics and Finance (miscellaneous), Geography, Planning and Development, Management of Technology and Innovation, Urban Studies, Business and International Management, Public Health, Environmental and Occupational Health, Medicine (all), Strategy and Management, Development, Environmental Science (all), Finance, Business, Management and Accounting (miscellaneous)",2011-2023,Universidad del Cauca,60051434,
Mauro Andrés Sánchez,Sánchez M.,57219174448,9-s2.0-57219174448,,1,01/10/2020,0,0,0,1,new,Human-Computer Interaction,2009-2009,Universidad del Cauca,108584377,Grupo de investigación y desarrollo en ingeniería de Software
Jhon Jairo Realpe,Realpe J.,57506438000,9-s2.0-57506438000,,1,24/03/2022,1,1,1,2,new,Engineering (all),2018-2018,Universidad del Cauca,110043908,Exactas y de la Educación
M. Martínez Magín,Magín M.,55831548200,9-s2.0-55831548200,,1,02/09/2013,0,0,0,2,update,Computer Networks and Communications,2013-2013,Universidad del Cauca,60051434,
Anderson Felipe Jiménez,Jiménez A.,57204766765,9-s2.0-57204766765,,2,30/11/2018,1,1,1,3,update,"Mathematics (all), Computer Science (all)",2018-2019,Institución Universitaria Colegio Mayor del Cauca,122139041,Facultad de Ingeniería
Claudia Ximena Campo-Canar,Campo-Canar C.,57223926596,9-s2.0-57223926596,,1,31/05/2021,0,0,0,2,new,"Public Health, Environmental and Occupational Health, Health Information Management, Epidemiology, Health Policy",2020-2020,Universidad del Cauca,126259047,Audiologa
Andrés Marcelo Piarpuzán-Yasnó,Piarpuzán-Yasnó A.,57873939900,9-s2.0-57873939900,,1,11/09/2022,0,0,0,5,new,"Cardiology and Cardiovascular Medicine, Internal Medicine",2022-2022,Universidad del Cauca,60051434,
Juan Rincon-Patino,Rincon-Patino J.,57204009731,9-s2.0-57204009731,,3,05/10/2018,23,23,3,3,update,"Medicine (all), Geography, Planning and Development, Biochemistry, Genetics and Molecular Biology (all), Immunology and Microbiology (all), Management, Monitoring, Policy and Law, Pharmacology, Toxicology and Pharmaceutics (all), Renewable Energy, Sustainability and the Environment",2018-2018,Universidad del Cauca,104717561,Grupo de Ingeniería Telemática
C. I. Salazar,Salazar C.,57200764220,9-s2.0-57200764220,,1,28/02/2018,1,1,1,4,new,"Biomedical Engineering, Bioengineering",2015-2015,Universidad del Cauca,116403986,School of Humanities
Julio C. Bermudez E,Bermudez E J.,55224012600,9-s2.0-55224012600,,1,28/05/2012,15,15,1,2,update,"Waste Management and Disposal, Environmental Engineering, Bioengineering",2007-2007,Universidad del Cauca,108081860,Facultad de Ciencias Agropecuarias
Viviana Narvaez,Narvaez V.,57403994900,9-s2.0-57403994900,,1,13/01/2022,2,2,1,5,new,"Management, Monitoring, Policy and Law, Environmental Science (miscellaneous), Geography, Planning and Development, Computer Networks and Communications, Hardware and Architecture, Energy Engineering and Power Technology, Computer Science (miscellaneous), Renewable Energy, Sustainability and the Environment",2022-2022,"Universidad Politécnica de Madrid, TECNICAFE","60028442, 127564855"," ,  "
M. H. Tobar,Tobar M.,56562628500,9-s2.0-56562628500,,1,26/03/2015,0,0,0,3,update,"Biomedical Engineering, Bioengineering",2015-2015,Universidad del Cauca,60051434,
Cristian Andres Narváez,Narváez C.,57193875481,9-s2.0-57193875481,,1,17/04/2017,1,1,1,2,new,Chemistry (all),2017-2017,Universidad del Cauca,104717527,Department of Physics
Carol Julieth Aguilar-Paz,Aguilar-Paz C.,56423786700,9-s2.0-56423786700,,2,01/12/2014,1,1,1,2,update,"Materials Science (all), Engineering (all), Industrial and Manufacturing Engineering",2014-2016,Universidad del Cauca,104717563,Departamento de Física - FACNED
Stivens Antonio Dionizio Solarte,Dionizio Solarte S.,57817070300,9-s2.0-57817070300,,1,30/07/2022,0,0,0,4,new,"Computer Networks and Communications, Information Systems",2022-2022,Institución Universitaria Colegio Mayor del Cauca,128401974,Faculty of Engineering
Mariana Fittipaldi,Fittipaldi M.,35368344600,9-s2.0-35368344600,0000-0001-7542-8528,22,15/02/2010,547,678,11,23,update,"Soil Science, Ecology, Biophysics, Applied Microbiology and Biotechnology, Management, Monitoring, Policy and Law, Microbiology (medical), Pharmacology, Toxicology and Pharmaceutics (all), Pharmacology (medical), Waste Management and Disposal, Ecology, Evolution, Behavior and Systematics, Veterinary (all), Medicine (all), Plant Science, Public Health, Environmental and Occupational Health, Gastroenterology, Oncology, Water Science and Technology, Biotechnology, Microbiology, Molecular Biology, Fluid Flow and Transfer Processes, Infectious Diseases, Virology, Biochemistry, Genetics and Molecular Biology (all), Dermatology",2009-2018,Fundación InnovaGen,121445794,Unidad de Salud Ambiental
Karen Alejandra Rivera,Rivera K.,57219515773,9-s2.0-57219515773,,1,27/10/2020,0,0,0,7,new,Anesthesiology and Pain Medicine,2020-2020,Clínica la Estancia,125032749,
Luis Eduardo Ramírez-Bejarano,Ramírez-Bejarano L.,57208770772,9-s2.0-57208770772,,2,23/05/2019,9,9,1,6,update,"Food Science, Nutrition and Dietetics, Endocrinology, Diabetes and Metabolism, Medicine (all)",2019-2022,Universidad del Cauca,104717539,Department of Internal Medicine
William Darío Díaz Delgado,Díaz Delgado W.,58108224300,9-s2.0-58108224300,,1,24/02/2023,0,0,0,8,new,Psychiatry and Mental Health,2023-2023,Universidad del Cauca,60051434,
Jaime Coral Enríquez,Enríquez J.,57195139305,9-s2.0-57195139305,,1,29/07/2017,0,0,0,1,update,Rheumatology,2016-2016,Universidad del Cauca,104717539,Department of Internal Medicine
Juliana P. Enriquez-Fuertes,Enriquez-Fuertes J.,57704600400,9-s2.0-57704600400,,1,29/05/2022,0,0,0,5,new,Engineering (all),2021-2021,Universidad del Cauca,104717527,Department of Physics
Braulio Giovanni Velásquez-Cuasquén,Velásquez-Cuasquén B.,57224078107,9-s2.0-57224078107,,7,05/06/2021,101,103,4,7399,update,"Surgery, Pulmonary and Respiratory Medicine, Oncology, Medicine (all), Gastroenterology, Cardiology and Cardiovascular Medicine",2021-2022,Universidad del Cauca,116058614,Department of Surgical Sciences
Jonathan Coral,Coral J.,55938516200,9-s2.0-55938516200,,6,04/12/2013,4,8,2,5,update,"Agricultural and Biological Sciences (all), Biophysics, Structural Biology, Medicine (all), Clinical Biochemistry",2013-2022,Synthetic Vaccine and New Drug Research Institute – IVSI,126371141,Department of Molecular Physics
Elkin Dario Cárdenas DIaz,Cárdenas DIaz E.,57208386453,9-s2.0-57208386453,,5,30/04/2019,7,8,2,3,update,"Computational Mathematics, Applied Mathematics, Mathematics (all), Analysis",2018-2022,Universidad del Cauca,104717531,Department of Mathematics
Franz X. Faust,Faust F.,57217945995,9-s2.0-57217945995,,1,16/07/2020,20,20,1,3,new,Earth and Planetary Sciences (all),2006-2006,Universidad del Cauca,105535106,Department of Anthropology
Diego Mauricio López Guitierrez,Guitierrez D.,57223272603,9-s2.0-57223272603,,1,17/05/2021,0,0,0,2,new,Computer Science (all),2021-2021,Universidad del Cauca,60051434,
Edna Cabrera,Cabrera E.,58089560100,9-s2.0-58089560100,,1,09/02/2023,0,0,0,5,new,"Agricultural and Biological Sciences (all), Environmental Science (all), Biochemistry, Genetics and Molecular Biology (all), Geography, Planning and Development",2022-2022,Universidad del Cauca,113340876,Departamento de Ing. Ambiental
Giovanni Alejandro Varona Beltrán,Varona Beltrán G.,57188587482,9-s2.0-57188587482,,5,10/04/2016,24,24,2,14,update,"Polymers and Plastics, Management Science and Operations Research, Energy (all), Applied Microbiology and Biotechnology, Geotechnical Engineering and Engineering Geology, Pharmacology, Toxicology and Pharmaceutics (miscellaneous), Strategy and Management, Management of Technology and Innovation, Industrial and Manufacturing Engineering, Computer Science Applications, Business and International Management, Food Science",2015-2016,Universidad del Cauca,104717562,Departamento de Agroindustria
Karen Sofia Muñoz-Pabon,Muñoz-Pabon K.,57553155300,9-s2.0-57553155300,,3,07/04/2022,6,6,1,6,update,"Food Science, Management, Monitoring, Policy and Law, Health (social science), Microbiology, Plant Science, Agronomy and Crop Science, Horticulture, Health Professions  (miscellaneous), Global and Planetary Change, Ecology",2022-2022,"Universidad del Cauca, Universidad Nacional Abierta y a Distancia","104717562, 120322564","Departamento de Agroindustria, Technology and Engineering"
J. A. Negret,Negret J.,6602408857,9-s2.0-6602408857,,1,28/11/2005,29,29,1,2,update,Paleontology,2000-2000,Universidad del Cauca,104717549,Museo de Historia Natural
Danny Arteaga,Arteaga D.,58068059600,9-s2.0-58068059600,,1,21/01/2023,0,0,0,2,update,"Education, Chemistry (all)",2022-2022,Universidad del Cauca,113742945,Grupo de Investigación Química de Productos Naturales QPN
Jamer Armando Campo Sánchez,Sánchez J.,57220819229,9-s2.0-57220819229,,1,20/12/2020,0,0,0,7,new,Anesthesiology and Pain Medicine,2020-2020,Empresa Social del Estado Suroccidente.,125252062,
Claudia Acosta-Astaiza,Acosta-Astaiza C.,57731172900,9-s2.0-57731172900,,1,17/07/2022,0,0,0,5,update,"Gastroenterology, Hepatology",2022-2022,Universidad del Cauca,114497679,Applied Human Genetics Research Group
