idgruplac,verificado,tipo,nombre,lugar,revista,issn,fecha,volumen,fasciculo,paginas,doi,autores
00000000008160,True,Publicado en revista especializada,Procedimiento para la Construcción de Índices Semánticos Basados en Ontologías de Dominio Específico,Colombia,Entramado,1900-3803,2013,9,N/A,262 - 289,,"MIGUEL ANGEL NINO ZAMBRANO, DIGNORY JIMENA PEREZ, DIANA MARIBEL PEZO ARTEAGA, CARLOS ALBERTO COBOS LOZADA, GUSTAVO ADOLFO RAMIREZ GONZALEZ"
00000000008160,True,Publicado en revista especializada,Evaluating interactive digital television applications through usability heuristics,Chile,Ingeniare,0718-3291,2013,21,1,16 - 29,10.4067/S0718-33052013000100003,"JOSE LUIS ARCINIEGAS HERRERA, CESAR ALBERTO COLLAZOS, CRISTIAN RUSU, ANDRES FERNANDO SOLANO ALEGRIA"
00000000008160,True,Publicado en revista especializada,Multimedia content distribution of an online Social TV game over IP-based networks,Estados Unidos,Telecommunication Systems,1018-4864,2013,52,1,1 - 12,10.1007/s11235-014-9940-1,"JOSE LUIS ARCINIEGAS HERRERA, XABIEL GARCIA PANEDA, ROBERTO GARCIA"
00000000008160,True,Publicado en revista especializada,Arquitectura para el Soporte de Comunidades Académicas Virtuales en Ambientes de Televisión Digital interactiva.,Chile,Formacion Universitaria,0718-5006,2013,6,2,3 - 14,10.4067/S0718-50062013000200002,"JOSE LUIS ARCINIEGAS HERRERA, GABRIEL ELIAS CHANCHI GOLONDRINO, WILMAR CAMPO, WILMAR YESID CAMPO MUNOZ"
00000000008160,True,Publicado en revista especializada,Modelo Arquitectónico para Interoperabilidad entre Instituciones Prestadoras de Salud en Colombia,Colombia,Revista Ingeniería Biomédica,1909-9762,2012,6,12,1 - 13,,"HELDER YESID CASTRILLON COBO, CAROLINA GONZALEZ, DIEGO MAURICIO LOPEZ GUTIERREZ, CAROLINA GONZALEZ SERRANO"
00000000008160,True,Publicado en revista especializada,Caracterización de Herramientas de Ingeniería Inversa,Chile,Informacion Tecnologica,0718-0764,2012,23,6,31 - 42,10.4067/S0718-07642012000600005,"JOSE LUIS ARCINIEGAS HERRERA, MARTIN MONROY RIOS"
00000000008160,True,Publicado en revista especializada,An Automated User-Centered Planning Framework for Decision Support in Environmental Early Warnings,Estados Unidos,Lecture Notes in Computer Science,0302-9743,2012,7637,N/A,591 - 600,10.1007/978-3-642-34654-5_60,JUAN CARLOS CORRALES MUNOZ
00000000008160,True,Publicado en revista especializada,RECUPERACIÓN DE SERVICIOS WEB BASADA EN PROPIEDADES NO FUNCIONALES,Colombia,Tecnura,0123-921X,2012,16,33,100 - 116,,JUAN CARLOS CORRALES MUNOZ
00000000008160,True,Publicado en revista especializada,Usability Collaborative Evaluation in T-Learning Services: State of the Art,España,Eminds: International Journal On Human-Computer Interaction,1697-9613,2012,2,8,19 - 33,,"JOSE LUIS ARCINIEGAS HERRERA, CESAR ALBERTO COLLAZOS, ANDRES FERNANDO SOLANO ALEGRIA, CRISTIAN RUSU"
00000000008160,True,Publicado en revista especializada,Selección heurística de mecanismos de compresión aplicados a mensajes Soap para mejorar el acceso a servicios Web desde redes de baja capacidad,Colombia,El Hombre Y La Máquina,0121-0777,2012,2,39,65 - 78,,JUAN CARLOS CORRALES MUNOZ
