idcvlac,autor,nombre,tipo,verificado,nombre_comercial,contrato_registro,lugar,fecha,palabras,areas,sectores
0000676705,"JUAN CARLOS OLIVAR CASTILLO, FABIAN OSWALDO ALEGRIA AGREDO, PABLO ANDRES CHAVEZ TORRES",Propuesta Arquitectónica Barrio Las Palmas. Timbio-Cauca,Otro,False,,,Colombia,2010,Vivienda;Habitabilidad;Comunidad;Bajo costo;Sistema constructivo,Humanidades;Arte;Arquitectura y Urbanismo,"Desarrollo Urbano, Planeamiento y gestión de las ciudades, incluso política y planeamiento de vivienda, Productos y servicios para la defensa y protección del medio ambiente, incluyendo el desarrollo sostenible."
0000676705,"JUAN CARLOS OLIVAR CASTILLO, FABIAN OSWALDO ALEGRIA AGREDO, PABLO ANDRES CHAVEZ TORRES",Análisis de la vivienda social en Timbio. Cauca.,Otro,False,,,Colombia,2010,Vivienda;Habitabilidad;Comunidad;Sistema constructivo;Bajo costo,Humanidades;Arte;Arquitectura y Urbanismo,"Desarrollo Urbano, Planeamiento y gestión de las ciudades, incluso política y planeamiento de vivienda, Productos y servicios para la defensa y protección del medio ambiente, incluyendo el desarrollo sostenible."
0000676705,"JUAN CARLOS OLIVAR CASTILLO, OLVER GARCES","Diseño urbano para la recuperación del espacio público en el sector comprendido entre la calle 2 y 8, en La Dorada Putumayo.",Otro,False,Diseño Espacio Público. La Dorada Putumayo,,Colombia,2011,Diseño del paisaje;Espacio publico;Diagnóstico;Recuperación,Humanidades;Arte;Arquitectura y Urbanismo,"Desarrollo Urbano, Productos y servicios para la defensa y protección del medio ambiente, incluyendo el desarrollo sostenible."
0000676705,"JUAN CARLOS OLIVAR CASTILLO, MAURICIO PECHENE",Análisis del sector del barrio Rosario inmediaciones de la central de sacrificios Piendamó Cauca.,Otro,False,ANALISIS BARRIO EL ROSARIO -PIENDAMO,,Colombia,2011,No Aplica,Humanidades;Arte;Arquitectura y Urbanismo,"Desarrollo Urbano, Productos y servicios para la defensa y protección del medio ambiente, incluyendo el desarrollo sostenible."
0000676705,"JUAN CARLOS OLIVAR CASTILLO, MAURICIO PECHENE",Diagnóstico de sector del barrio rosario inmediaciones de la central de sacrificios Piendamó Cauca.,Otro,False,DIAGNOSTICO BARRIO EL ROSARIO-PIENDAMO CAUCA,,Colombia,2011,Diseño del paisaje;Diseño de espacio publico,Humanidades;Arte;Arquitectura y Urbanismo,"Desarrollo Urbano, Productos y servicios para la defensa y protección del medio ambiente, incluyendo el desarrollo sostenible."
0000676705,"JUAN CARLOS OLIVAR CASTILLO, MAURICIO PECHENE","Propuesta de diseño urbano paisajístico, para la intervención del entorno inmediato a la central de sacrificios del municipio de Piendamó cauca.",Otro,False,"Diseño urbano paisajístico, entorno inmediato a la central de sacrificios del municipio de Piendamó cauca.",,Colombia,2011,"Arquitectura y Paisaje,;Diseño de espacio publico",Humanidades;Arte;Arquitectura y Urbanismo,"Desarrollo Urbano, Productos y servicios para la defensa y protección del medio ambiente, incluyendo el desarrollo sostenible."
0000676705,"JUAN CARLOS OLIVAR CASTILLO, RODRIGO CASTRO, CESAR RODRIGO PALTA ESPINOSA, YUCED GAVIRIA NARVAEZ",Proyecto- Diseño de infraestructura arquitectonica sede de Bomberos en Santander de Quilichao.,Otro,False,,,Colombia,2011,Proyectos;diseño;bomberos;arquitectonico,Humanidades;Arte;Arquitectura y Urbanismo,Actividades de asesoramiento y consultoría a las empresas
0000676705,JUAN CARLOS OLIVAR CASTILLO,Levantamiento planimetrico y altimetrico de la infraestructura arquitectonica patrimonial existente sede de Bomberos Santander de Quilichao - Cauca.,Otro,False,,,Colombia,2011,No Aplica,No Aplica,No Aplica
0000676705,"JUAN CARLOS OLIVAR CASTILLO, YUCED GAVIRIA NARVAEZ, CESAR RODRIGO PALTA ESPINOSA, RODRIGO CASTRO",Analisis ambiental cualitativo del sector urbano de la estacion de Bomberos de Santander de Quilichao - Cauca.,Otro,False,,,Colombia,2011,analisis;ambiental;bomberos;cualitativo,Humanidades;Arte;Arquitectura y Urbanismo,Actividades de asesoramiento y consultoría a las empresas
0000676705,JUAN CARLOS OLIVAR CASTILLO,Diagnostico ambiental cualitativo del sector urbano de la Estacion de Bomberos en Santander de Quilichao - Cauca.,Otro,False,,,Colombia,2011,Diagnostico ambiental cualitativo Bomberos,Humanidades;Arte;Arquitectura y Urbanismo,No Aplica
0000676705,"JUAN CARLOS OLIVAR CASTILLO, WILLIAM CHANTRE MENDEZ, JULIAN ANDRES FERNANDEZ PARRA, INGRID MARCELA MONTILLA","Diseño de infraestructura arquitectonica y paisajistica del acceso y zona de alojamiento fiscales del centro penitenciario epa,cas establecimineto penitencairio de alta y mediana seguridad y carcelario con alta seguridad de Popayan - Cauca.",Otro,False,,,Colombia,2012,"Arquitectura y Paisaje,;arquitectonico;diseño;infraestructura;establecimiento carcelario",Humanidades;Arte;Arquitectura y Urbanismo,Actividades de asesoramiento y consultoría a las empresas
0000676705,"JUAN CARLOS OLIVAR CASTILLO, RODRIGO CASTRO, YUCED GAVIRIA NARVAEZ, CESAR RODRIGO PALTA ESPINOSA",Propuesta de diseño capilla de la reclusion de mujeres de Popayan - Cauca,Otro,False,,,Colombia,2011,diseño;arquitectonico;Capilla;carcelario;mujeres,Humanidades;Arte;Arquitectura y Urbanismo,Actividades de asesoramiento y consultoría a las empresas
