idgruplac,curso,fecha,acto,programa
00000000001162,Investigación en Interculturalidad. Experiencias y saberes ancestrales,2017-06-09,11348,Doctorado en Educación
00000000001162,"Ciudad, cultura y política (alternativas al desarrollo)",2016-01-08,4302,Doctorado en Educación
00000000001162,"Ciudad, cultura y política",2017-02-10,4302,Doctorado en Educación
00000000001162,Procesos culturales globales: identidades,2013-04-19,102443,Doctorado en Educación
00000000001162,"Diseño, organizaciones y ontologia",2016-06-10,54686,Doctorado en Administración
00000000016547,Seminario: Lingüística y educación,2018-06-18,9765,Doctorado en Educación
00000000016547,Seminario Currículo: conceptos y problemas,2018-06-18,9765,Doctorado en Educación
00000000016547,Seminario pedagogía: discursos y practicas,2018-06-18,9765,Doctorado en Educación
00000000016547,Seminario de investigación en educación,2016-04-04,9765,Doctorado en Educación
00000000002192,epistemologias de las ciencias sociales,2011-01-12,1576,Doctorado en Ciencias de la Educación
00000000002192,Visiones sobre desarrollo,2015-12-16,078,DOCTORADO EN ETNOBIOLOGIA Y ESTUDIOS BIOCULTURALES
00000000002192,Seminario de Integración - Tramas y mingas,2015-12-16,078,DOCTORADO EN ETNOBIOLOGIA Y ESTUDIOS BIOCULTURALES
00000000002192,"Culturas, cosmovisiones y naturaleza",2011-01-12,1576,DOCTORADO EN ETNOBIOLOGIA Y ESTUDIOS BIOCULTURALES
00000000015901,Formación Integral,2022-06-15,025,Doctorado en Ingeniería Telemática
00000000012834,Métodos Numéricos,2021-06-10,2-52.20/58,Doctorado en Ciencias Matemáticas
00000000012834,Álgebra Lineal Aplicada,2021-06-10,2-52.20/58,Doctorado en Ciencias Matemáticas
00000000012834,Complementariedad no lineal,2019-04-08,081,Doctorado en Ciencias Matemáticas
00000000012834,Álgebra lineal numérica,2015-12-16,081,Doctorado en Ciencias Matemáticas
00000000012834,Optimización II,2015-12-16,Acuerdo 07,Doctorado en Ciencias Matemáticas
00000000012834,Optimización I,2015-12-16,079,Doctorado en Ciencias Matemáticas
00000000002159,MÉTODOS DE INVESTIGACIÓN INTERDISIPLINARIOS,2008-08-29,FACNED,Doctorado en Ciencias Ambientales
00000000004672,Seminarios de integración (Tramas y Mingas),2016-06-01,10696,DOCTORADO EN ETNOBIOLOGIA Y ESTUDIOS BIOCULTURALES
00000000003792,Seminario de Investigación II,2008-10-28,7224,Doctorado en Ciencias de la Electrónica
00000000003792,Entornos Virtuales de Aprendizaje,2014-06-06,111,Doctorado en Educación
00000000003792,Sistemas Colaborativos,2014-07-02,111,Doctorado en Ingeniería Informática
00000000003792,Diseño Centrado en el usuario,2019-07-24,06295,Doctorado en Ingeniería
00000000003792,Diseño Centrado en el usuario,2018-07-24,06295,Doctorado en Ingeniería
00000000003792,Interacción Humano Computador,2020-07-06,06295,Doctorado en Ingeniería
00000000002157,Electiva: Computación Suave,2014-12-01,7224,Doctorado en Ciencias de la Electrónica
00000000002157,Electiva: Tópicos Avanzados en Algoritmos Meméticos,2014-12-01,7224,Doctorado en Ciencias de la Electrónica
00000000002157,Electiva: Bodegas de Datos y OLAP,2014-12-01,7224,Doctorado en Ciencias de la Electrónica
00000000002157,Electiva: Tópicos Avanzados en Bodegas de Datos,2014-12-01,7224,Doctorado en Ciencias de la Electrónica
00000000002157,Electiva: Minería de Datos,2014-12-01,7224,Doctorado en Ciencias de la Electrónica
