idgruplac,verificado,tipo,nombre,lugar,revista,issn,fecha,volumen,fasciculo,paginas,doi,autores
00000000004257,True,Publicado en revista especializada,VITAMIN D NUTRITIONAL STATUS IN THE ADULT POPULATION IN COLOMBIA- AN ANALYTICAL CROSS SECTIONAL,Colombia,Heliyon,2405-8440,2020,6,na,1 - 9,10.1016/j.arteri.2018.07.001,"HERNANDO VARGAS URICOCHEA, MARIA VIRGINIA PINZON FERNANDEZ, ANDRY YASMID MERA MAMIAN, VALENTINA AGREDO DELGADO"
00000000004257,True,Publicado en revista especializada,Trombosis endovenosa en ACV Isquémico: una experiencia en un hospital de Popayán Cauca,No Aplica,Acta Neurológica Colombiana,0120-8748,2020,36,1,11 - 17,10.22379/24224022272,"ANABELI CORONEL GAVIRIA, TOMAS OMAR ZAMORA BASTIDAS, CARLOS ERNESTO CABRERA VELASCO, PAULO ANDRES CHILITO ZEMANATE"
00000000004257,True,Publicado en revista especializada,"ADENDO: ACTUALIZACIÓN 27/06/2020. CONSENSO COLOMBIANO DE ATENCIÓN, DIAGNÓSTICO Y MANEJO DE LA INFECCIÓN POR SARS-COV-2/COVID-19 EN ESTABLECIMIENTOS DE ATENCIÓN DE LA SALUD: RECOMENDACIONES BASADAS EN CONSENSO DE EXPERTOS E INFORMADAS EN LA EVIDENCIA ACIN-IETS. SEGUNDA EDICIÓN",Colombia,Infectio,0123-9392,2020,24,3,1 - 18,10.22354/in.v24i3.895,"CARLOS HUMBERTO SAAVEDRA TRUJILLO, HERNANDO VARGAS URICOCHEA"
00000000004257,True,Revisión (Survey),Falla Cardíaca con fracción de eyección preservada: generalidades y aproximación en el perioperatorio,Colombia,Revista Med,0121-5256,2020,28,2,49 - 60,10.18359/rmed.4854,NELSON ADOLFO LOPEZ GARZON
00000000004257,True,Publicado en revista especializada,Vitamina D nutritional status in the adult population in Colombia - an analytical cross-sectional Study,Colombia,Heliyon,2405-8440,2020,6,,1 - 9,10.1016/j.heliyon.2020.e03479,"ANDRY YASMID MERA MAMIAN, MARIA VIRGINIA PINZON FERNANDEZ, HERNANDO VARGAS URICOCHEA, VALENTINA AGREDO DELGADO"
00000000004257,True,Publicado en revista especializada,"Trombólisis endovenosa en ACV isquémico: experiencia en un hospital de Popayán, Cauca",Colombia,Acta Neurológica Colombiana,0120-8748,2020,36,1,11 - 17,10.22379/24224022272,"HERNANDO VARGAS URICOCHEA, CARLOS ERNESTO CABRERA VELASCO, TOMAS OMAR ZAMORA BASTIDAS"
00000000004257,True,Revisión (Survey),Las dislipidemias y su tratamiento en centros de alta complejidad,Colombia,Clinica e Investigacion en Arteriosclerosis,0214-9168,2020,3,,1 - 10,10.1016/j.arteri.2019.11.005,"HERNANDO VARGAS URICOCHEA, ALEJANDRO ROMAN GONZALEZ, HERNAN YUPANQUI LOZNO"
00000000004257,True,Revisión (Survey),mecanismos de patrogenicidad y respuesta inmune de la infección por Chlamydia trachomatis y su relación con cancer cervical,Colombia,Revista Ces Medicina,2215-9177,2019,33,1,51 - 59,10.21615/cesmedicina.32.3.6,"MARIA VIRGINIA PINZON F, LILIANA CALDAS ARIAS"
00000000004257,True,Revisión (Survey),Riesgo de ser un astronauta: héroes del espacio,Colombia,Revista Medicina,0120-5498,2019,41,1,47 - 62,,"MARIA VIRGINIA PINZON FERNANDEZ, LUISA FERNANDA ZUNIGA CERON, JHAN SEBASTIAN SAAVEDRA TORRES, LUISA FERNANDA MAHECHA VIRGUEZ"
00000000004257,True,Publicado en revista especializada,"Infecciones del tracto urinario en niños, una de las enfermedades infecciosas mas prevaleces",Colombia,Revista De La Facultad De Medicina,0120-0011,2018,66,3,393 - 398,10.15446/revfacmed,"MARIA VIRGINIA PINZON FERNANDEZ, JHAN SEBASTIAN SAAVEDRA TORRES, LUISA FERNANDA ZUNIGA CERON"
