nombre,nombre_index,autor_id,eid,orcid,documentos,fecha_creacion,documentos_citados,citaciones,h_index,co_autores,estado,areas,rango_publicacion,institucion,affil_id,departamento,idgruplac,nombre_grupo,idcvlac
Ronal Fredy Cerón-Ortega,Cerón-Ortega R.,57200114535,9-s2.0-57200114535,,1,2018-01-04,0,0,0,7,new,Medicine (all),2017-2017,Universidad del Cauca,104717546,Facultad de Ciencias de la Salud,,,
Diego Fernando Peña,Peña D.,57222135334,9-s2.0-57222135334,,1,2021-03-03,0,0,0,2,new,Computer Science (all),2020-2020,Universidad del Cauca,60051434,No Aplica,,,
Andrés Mauricio Salazar-Piedrahíta,Salazar-Piedrahíta A.,57211910544,9-s2.0-57211910544,,1,2019-11-26,0,0,0,1,new,Computer Science (all),2019-2019,Universidad del Cauca,121998203,Grupo de I+D en Tecnologías de la Información (GTI),,,
Yina Isabella Vidal-Jiménez,Vidal-Jiménez Y.,57997708000,9-s2.0-57997708000,,1,2022-12-14,0,0,0,6,new,"Health Professions  (miscellaneous);Physical Therapy, Sports Therapy and Rehabilitation;Public Health, Environmental and Occupational Health;Speech and Hearing;Occupational Therapy",2022-2022,Fisiomas siempre contigo,128957167,No Aplica,,,
Yineth Viviana Camacho de Angulo,Camacho de Angulo Y.,58101860100,9-s2.0-58101860100,,1,2023-02-20,0,0,0,3,new,"Environmental Science (miscellaneous);Management, Monitoring, Policy and Law;Geography, Planning and Development;Hardware and Architecture;Computer Networks and Communications;Renewable Energy, Sustainability and the Environment;Computer Science (miscellaneous);Energy Engineering and Power Technology",2023-2023,Universidad del Cauca,104717530,Department of Biology,,,
Diego Fabian Gomez-Pardo,Gomez-Pardo D.,57184041800,9-s2.0-57184041800,,1,2016-03-27,0,0,0,3,update,Computer Networks and Communications;Software,2015-2015,Universidad del Cauca,105501700,Telematics Engineering Research Group,,,
Jesús Rodrigo Navia-Rodríguez,Navia-Rodríguez J.,57222139305,9-s2.0-57222139305,,1,2021-03-03,0,0,0,2,new,Computer Science (all),2020-2020,Universidad del Cauca,121998203,Grupo de I+D en Tecnologías de la Información (GTI),,,
Leandro Guillermo Realpe-Cisneros,Realpe-Cisneros L.,57211278463,9-s2.0-57211278463,,1,2019-10-18,0,0,0,7,new,Medicine (all),2019-2019,Universidad del Cauca,104717546,Facultad de Ciencias de la Salud,,,
Juan David Lara Galvis,Lara Galvis J.,57927148800,9-s2.0-57927148800,,1,2022-10-21,0,0,0,3,new,"Management, Monitoring, Policy and Law;Environmental Science (miscellaneous)",2021-2021,Corporación Universitaria Comfacauca,128736839,Ingeniero Mecatrónico,,,
Hugo Alexander Garcés,Garcés H.,58039029800,9-s2.0-58039029800,,1,2023-01-06,0,0,0,2,new,Law;Sociology and Political Science,2022-2022,Universitat de Barcelona;Universidad del Cauca,60001576;60051434, ; ,,,
Manuel Francisco Silva Joaqui,Joaqui M.,57852401300,9-s2.0-57852401300,,1,2022-08-29,0,0,0,3,new,Computer Science (all),2022-2022,Institución Universitaria Colegio Mayor del Cauca,128484659,Edificio Bicentenario,,,
María del Mar Meza-Cabrera,del Mar Meza-Cabrera M.,58144327100,9-s2.0-58144327100,,1,2023-03-22,0,0,0,2,new,Medical and Surgical Nursing;Nursing (all);Community and Home Care;Maternity and Midwifery;Critical Care and Intensive Care Medicine;Family Practice;Nurse Assisting,2020-2020,Universidad del Cauca,105463331,Departamento de Ciencias Quirúrgicas,,,
David Alejandro Sandoval,Sandoval D.,57214219003,9-s2.0-57214219003,,1,2020-02-01,0,0,0,3,new,Computer Science (all);Control and Systems Engineering,2020-2020,Corporación Universitaria Comfacauca,119181814,No Aplica,,,
Jorge Moreno,Moreno J.,57225823169,9-s2.0-57225823169,0000-0003-1885-1332,1,2021-07-20,0,0,0,3,update,Information Systems;Computer Science Applications,2005-2005,Universidad del Cauca,115945793,Information Technology Research Group (GTI),,,
Ana María Lourido-Gamboa,Lourido-Gamboa A.,58138983300,9-s2.0-58138983300,,1,2023-03-19,0,0,0,5,new,Gastroenterology,2022-2022,Universidad del Cauca,127619915,residente en Cirugía General,,,
Javier Imbuz,Imbuz J.,36806078900,9-s2.0-36806078900,,1,2011-01-26,0,0,0,3,new,Engineering (all),2009-2009,Universidad del Cauca,60051434,No Aplica,,,
Nelsy Hoyos-Yela,Hoyos-Yela N.,58154258400,9-s2.0-58154258400,,1,2023-03-29,0,0,0,3,new,"Geography, Planning and Development;Environmental Science (all);Agricultural and Biological Sciences (all);Biochemistry, Genetics and Molecular Biology (all)",2019-2019,Universidad del Cauca,122165944,Departamento de Ingeniería Agroindustrial,,,
