nombre,nombre_index,autor_id,eid,orcid,documentos,fecha_creacion,documentos_citados,citaciones,h_index,co_autores,estado,areas,rango_publicacion,institucion,affil_id,departamento,idgruplac,nombre_grupo,idcvlac
Sandra Jimena Jácome,Jácome S.,57200450955,9-s2.0-57200450955,0000-0001-6605-8377,4,2018-02-09,10,10,2,11,update,"Family Practice;Library and Information Sciences;Medicine (miscellaneous);Health Policy;Nursing (all);Critical Care and Intensive Care Medicine;Health Information Management;Nurse Assisting;Medicine (all);Community and Home Care;Nutrition and Dietetics;Biochemistry, Genetics and Molecular Biology (all);Maternity and Midwifery;Medical and Surgical Nursing",2017-2020,Universidad del Cauca,120358222,Grupo de Movimiento Corporal Humano y Calidad de Vida,00000000001995,MOVIMIENTO CORPORAL HUMANO Y CALIDAD DE VIDA,0000501484
Olga Lucia Sanabria,Sanabria O.,57214991860,9-s2.0-57214991860,,4,2020-02-26,10,10,1,13,update,"Anthropology;Plant Science;Health Professions  (all);Agricultural and Biological Sciences (all);Biochemistry, Genetics and Molecular Biology (all);Animal Science and Zoology;Medicine (all)",2018-2023,Universidad del Cauca,60051434,No Aplica,,,
Luis Freddy Muñoz-Sanabria,Muñoz-Sanabria L.,57196952455,9-s2.0-57196952455,,4,2017-11-18,10,10,2,5,update,Mathematics (all);Engineering (all);Education;Computer Science Applications;Computer Science (all),2017-2019,Fundación Universitaria de Popayán,60108709,No Aplica,,,
Víctor Hugo Mosquera,Mosquera V.,57216967142,9-s2.0-57216967142,,4,2020-06-03,8,10,2,6,update,Instrumentation;Industrial and Manufacturing Engineering;Mechanical Engineering;Civil and Structural Engineering;Signal Processing;Electrical and Electronic Engineering;Computer Vision and Pattern Recognition;Nursing (all);Biomedical Engineering,2018-2022,Universidad del Cauca,60051434,No Aplica,,,
P. J. Salazar-Valencia,Salazar-Valencia P.,15136553000,9-s2.0-15136553000,,4,2006-12-22,9,10,1,3,update,Physics and Astronomy (all),2006-2016,Universidad del Cauca,60051434,No Aplica,,,
Tomás Omar Zamora-Bastidas,Zamora-Bastidas T.,57193094342,9-s2.0-57193094342,,4,2017-02-03,9,9,2,12,update,Medicine (all),2016-2019,Universidad del Cauca;Hospital Universitario San José,104717539;123298389,Department of Internal Medicine;Department of Internal Medicine,,,
Claudia Milena Hernández,Hernández C.,56890425500,9-s2.0-56890425500,,4,2015-10-14,9,9,2,12,update,Software;Biomedical Engineering;Applied Microbiology and Biotechnology;Communication;Bioengineering;Engineering (all);Biotechnology;Electrical and Electronic Engineering;Computer Networks and Communications,2014-2020,Universidad del Cauca,109856659,Department of Telecommunications,,,
Carol J. Aguilar,Aguilar C.,55601338200,9-s2.0-55601338200,,4,2013-02-27,8,8,2,8,update,Materials Science (all);Mechanics of Materials;Metals and Alloys;Condensed Matter Physics;Mechanical Engineering;Industrial and Manufacturing Engineering;Materials Chemistry,2013-2022,"Universidad del Cauca;Universidad del Valle, Cali",104717527;121361116,Department of Physics;Grupo de Transiciones de Fase y Materiales Funcionales,,,
Augusto Muñoz-Caicedo,Muñoz-Caicedo A.,56145653400,9-s2.0-56145653400,0000-0002-0570-5558,4,2014-05-14,8,8,2,7,update,"Health Policy;Medicine (all);Health Information Management;Public Health, Environmental and Occupational Health;Epidemiology",2013-2020,Universidad del Cauca,126259045,Magister en Salud Publics,,,
Pablo E. Caicedo,Caicedo P.,57190871641,9-s2.0-57190871641,,4,2016-09-02,7,7,1,5,update,Instrumentation;Multidisciplinary;Biomedical Engineering;Artificial Intelligence;Civil and Structural Engineering;Mechanical Engineering;Industrial and Manufacturing Engineering,2016-2020,Corporación Universitaria Autónoma del Cauca,129274956,Faculty of Engineering,,,
Deibar René Hurtado Herrera,Hurtado Herrera D.,24467811000,9-s2.0-24467811000,,4,2008-08-01,7,7,1,3,update,Education,2007-2013,Universidad del Cauca,110043908,Exactas y de la Educación,,,
Carlos Augusto Andrade-Eraso,Andrade-Eraso C.,54911905100,9-s2.0-54911905100,0000-0001-9772-3421,4,2012-02-19,7,7,1,9,update,"Electronic, Optical and Magnetic Materials;Condensed Matter Physics;Applied Mathematics;Electrical and Electronic Engineering;Computer Science Applications;Bioengineering;Physics and Astronomy (all);Biomedical Engineering",2011-2015,Universidad del Cauca,60051434,No Aplica,00000000003625;00000000008151;00000000002126,Modelos Regionales de Competitividad;Optica y Laser;Física de Bajas Temperaturas - Edgar Holguín,0000975877
Jhon Jairo Palechor-Tróchez,Palechor-Tróchez J.,57188579705,9-s2.0-57188579705,0000-0003-4756-2812,4,2016-04-10,7,7,2,7,update,"Biochemistry;Structural Biology;Food Science;Applied Microbiology and Biotechnology;Molecular Biology;Materials Science (all);Pharmacology, Toxicology and Pharmaceutics (miscellaneous);Engineering (all)",2016-2021,Universidad del Cauca,120813819,Agroindustry Department,00000000003965,Ciencia y Tecnología de Biomoléculas de Interés Agroindustrial - CYTBIA,0001471135
Carlos Andres Martos Ojeda,Ojeda C.,57223334878,9-s2.0-57223334878,,4,2021-05-18,5,7,2,5,update,Computer Science (all);Engineering (all);Materials Science (all),2021-2022,Universidad del Cauca,125241942,Departamento de Matemticas,,,
Flaminio Guarín-Arenas,Guarín-Arenas F.,37077134600,9-s2.0-37077134600,,4,2011-05-01,6,7,2,10,update,"Energy (all);Geology;Geophysics;Chemical Engineering (all);Renewable Energy, Sustainability and the Environment;Engineering (miscellaneous);Energy Engineering and Power Technology;Waste Management and Disposal;Water Science and Technology;Environmental Chemistry;Fuel Technology",2010-2022,Universidad del Cauca,108218057,Facultad de Ingeniería Electrónica y Telecomunicaciones,,,
Luz Ángela Tovar-Ruíz,Tovar-Ruíz L.,56363139800,9-s2.0-56363139800,0000-0002-1912-4893,4,2014-09-29,6,6,2,13,update,"Health (social science);Instrumentation;Health Professions  (miscellaneous);Materials Science (all);Engineering (all);Process Chemistry and Technology;Public Health, Environmental and Occupational Health;Computer Science Applications;Community and Home Care;Fluid Flow and Transfer Processes;Medicine (miscellaneous);Health Policy",2014-2022,Universidad del Cauca,126593158,Department of Physiotherapy,00000000001995,MOVIMIENTO CORPORAL HUMANO Y CALIDAD DE VIDA,0000545309
Fulvio Yesid Vivas,Vivas F.,57200216553,9-s2.0-57200216553,0000-0003-3695-3578,4,2018-01-13,6,6,1,8,update,"Biochemistry;Process Chemistry and Technology;Electrical and Electronic Engineering;Signal Processing;Computer Science Applications;Computer Networks and Communications;Fluid Flow and Transfer Processes;Atomic and Molecular Physics, and Optics;Information Systems;Analytical Chemistry;Materials Science (all);Information Systems and Management;Engineering (all);Instrumentation",2017-2021,Universidad del Cauca,104717552,Departamento de Telemática,00000000008160,Grupo de Ingeniería Telemática,0000381250
Darwin Carranza-Saavedra,Carranza-Saavedra D.,57222571564,9-s2.0-57222571564,0000-0001-5697-6107,4,2021-04-02,5,5,2,9,update,"Biotechnology;Management, Monitoring, Policy and Law;Food Science;Agronomy and Crop Science;Engineering (all);Horticulture;Global and Planetary Change;Ecology;Building and Construction;Engineering (miscellaneous);Applied Microbiology and Biotechnology",2021-2022,Universidad del Cauca,104717562,Departamento de Agroindustria,00000000007276,Grupo de investigación en ingeniería de producto y procesos agroindustriales - GIPA,0000980102
Carlos A. Sánchez,Sánchez C.,57204017249,9-s2.0-57204017249,,4,2018-10-05,5,5,1,22,update,Theoretical Computer Science;Mathematics (all);Computer Science (all),2018-2021,Universidad del Cauca,60051434,No Aplica,,,
Maribel Díaz,Díaz M.,57214887131,9-s2.0-57214887131,,4,2020-02-20,3,3,1,4,update,Algebra and Number Theory;Analysis;Mathematics (all);Geometry and Topology;Applied Mathematics,2020-2021,Universidad del Cauca,104717531,Department of Mathematics,,,
Fabricio Andres Lasso Andrade,Lasso Andrade F.,57194903911,9-s2.0-57194903911,,4,2017-07-20,3,3,1,34,update,"Medicine (all);Radiology, Nuclear Medicine and Imaging",2017-2022,Universidad del Cauca,127788188,Residente Anestesiología y Reanimación,,,
Mónica María Sinisterra Rodríguez,Rodríguez M.,56144658600,9-s2.0-56144658600,0000-0001-6528-8170,4,2014-05-14,3,3,1,1,update,"Management of Technology and Innovation;Economics, Econometrics and Finance (all);Strategy and Management;Social Sciences (miscellaneous);Finance;Business and International Management;Economics and Econometrics;Business, Management and Accounting (all);Arts and Humanities (miscellaneous);Marketing;Public Administration",2009-2023,Universidad del Cauca,119855198,Department of Economics,00000000004407;00000000002192,"Grupo de Investigación Desarrollo y Políticas públicas POLINOMIA;Grupo Interdisciplinario en Estudios Culturales, Económicos y Administrativos -GICEA-",0000520748
Wilson Ortega,Ortega W.,57406514700,9-s2.0-57406514700,,4,2022-01-15,2,2,1,4,update,"Education;Biomedical Engineering;Agricultural and Biological Sciences (all);Computer Science (all);Engineering (all);Architecture;Electrical and Electronic Engineering;Industrial and Manufacturing Engineering;Economics, Econometrics and Finance (miscellaneous)",2021-2022,Universidad del Cauca,115945793,Information Technology Research Group (GTI),,,
Laura Daniela Lasso-Arciniegas,Lasso-Arciniegas L.,57204063566,9-s2.0-57204063566,,4,2018-10-12,1,2,1,12,update,Signal Processing;Theoretical Computer Science;Computer Science (all);Control and Systems Engineering;Computer Networks and Communications;Mathematics (all),2018-2022,Universidad del Cauca,115945793,Information Technology Research Group (GTI),,,
Munoz Espana Elena,Elena M.,56682682200,9-s2.0-56682682200,0000-0002-3919-563X,4,2015-06-22,2,2,1,7,update,Computer Science (all);Mechanical Engineering;Control and Systems Engineering;Decision Sciences (miscellaneous);Artificial Intelligence;Control and Optimization;Electrical and Electronic Engineering,2010-2022,Universidad del Cauca,108661908,"Departamento de Electrónica, Instrumentación y Control",00000000000694,Grupo de Investigación en Automática,0000308765
David Santiago Garcia-Chicangana,Garcia-Chicangana D.,57215592467,9-s2.0-57215592467,,4,2020-03-17,2,2,1,10,update,Computer Science Applications;Computer Science (all);Media Technology;Modeling and Simulation;Education;Cardiology and Cardiovascular Medicine,2019-2021,Universidad del Cauca,108218057,Facultad de Ingeniería Electrónica y Telecomunicaciones,,,
José Caiza-Caizabuano,Caiza-Caizabuano J.,57211624045,9-s2.0-57211624045,0000-0001-8304-492X,4,2019-11-12,2,2,1,15,update,Computer Networks and Communications;Information Systems;Computer Science (all);Control and Systems Engineering,2019-2019,Institución Universitaria Colegio Mayor del Cauca,123616522,Facultad de Ingeniería,,,
Diego Fernando Hoyos-Samboní,Hoyos-Samboní D.,57194701310,9-s2.0-57194701310,,4,2017-07-11,2,2,1,11,update,Medicine (all),2017-2021,Universidad del Cauca;Empresa Social del Estado Hospital San Vicente de Paul Mistrató,104717539;128133363,Department of Internal Medicine;Emergency Service,,,
Wilfred Fabián Rivera,Rivera W.,57211799451,9-s2.0-57211799451,,4,2019-11-20,2,2,1,8,update,"Business and International Management;Management Science and Operations Research;Food Science;Computer Science (all);Business, Management and Accounting (all);Applied Microbiology and Biotechnology;Control and Systems Engineering;Pharmacology, Toxicology and Pharmaceutics (miscellaneous);Management of Technology and Innovation;Geography, Planning and Development",2016-2019,Corporación Universitaria Autónoma del Cauca,60276620,No Aplica,,,
Juan Fernando Flórez,Flórez J.,57211415366,9-s2.0-57211415366,0000-0003-1646-4419,4,2019-10-28,2,2,1,8,update,"Electrical and Electronic Engineering;Artificial Intelligence;Renewable Energy, Sustainability and the Environment;Energy Engineering and Power Technology;Computer Networks and Communications;Engineering (all);Control and Optimization;Control and Systems Engineering;Computer Science (all);Industrial and Manufacturing Engineering;Process Chemistry and Technology;Computer Science Applications",2018-2022,Universidad del Cauca,108661908,"Departamento de Electrónica, Instrumentación y Control",,,
Roberto Carlos Naranjo,Naranjo R.,54884553000,9-s2.0-54884553000,,4,2012-01-31,1,1,1,8,update,Engineering (all);Building and Construction;Language and Linguistics;Information Systems;Applied Mathematics;Computational Theory and Mathematics;Linguistics and Language;Computer Science Applications;Human-Computer Interaction,2005-2012,Universidad del Cauca,60051434,No Aplica,,,
Colin McLachlan,McLachlan C.,57194325890,9-s2.0-57194325890,,4,2017-06-06,1,1,1,5,update,Medicine (all);Clinical Biochemistry;Agricultural and Biological Sciences (all);Biophysics;Structural Biology,2016-2022,Synthetic Vaccine and New Drug Research Institute – IVSI,126371141,Department of Molecular Physics,,,
Fredy Alonso Vidal-Alegría,Vidal-Alegría F.,57222138876,9-s2.0-57222138876,,4,2021-03-03,1,1,1,8,update,Computer Science (all);Computer Networks and Communications;Information Systems,2020-2022,Institución Universitaria Colegio Mayor del Cauca,127693122,Edificio Bicentenario,,,
Hugo Portela-Guarín,Portela-Guarín H.,57193826921,9-s2.0-57193826921,0000-0002-5369-0848,4,2017-04-15,1,1,1,8,update,"Education;Engineering (all);Social Psychology;Medicine (all);Management, Monitoring, Policy and Law;Geography, Planning and Development;Cultural Studies",2016-2020,Universidad del Cauca,60051434,No Aplica,,,
José Fernando Grass-Ramírez,Grass-Ramírez J.,57566226500,9-s2.0-57566226500,,4,2022-04-15,0,0,0,12,update,"Materials Science (all);Management, Monitoring, Policy and Law;Computer Science (all);Electrical and Electronic Engineering;Ecology;Modeling and Simulation;Geography, Planning and Development;Food Science;Computer Science Applications;Agronomy and Crop Science;Horticulture;Global and Planetary Change;Biomaterials;Economics and Econometrics;Mechanics of Materials;Engineering (all)",2022-2023,Universidad del Cauca,120813819,Agroindustry Department,,,
Ricardo Córdoba,Córdoba R.,56747571100,9-s2.0-56747571100,,4,2015-08-08,0,0,0,1,update,Control and Optimization;Mathematics (all);Applied Mathematics,2015-2022,Universidad del Cauca,104717531,Department of Mathematics,,,
Eleonora Palta Velasco,Velasco E.,57215496921,9-s2.0-57215496921,,4,2020-03-13,0,0,0,12,update,Computer Science (all);Information Systems;Computer Networks and Communications,2020-2022,Institución Universitaria Colegio Mayor del Cauca,128484659,Edificio Bicentenario,,,
Juan David Orozco-Burbano,Orozco-Burbano J.,57222668982,9-s2.0-57222668982,,4,2021-04-11,0,0,0,20,update,"Cardiology and Cardiovascular Medicine;Immunology and Allergy;Rheumatology;Rehabilitation;Pharmaceutical Science;Medicine (all);Biochemistry, Genetics and Molecular Biology (all);Health Professions  (miscellaneous);Internal Medicine",2021-2022,Hospital Universitario San José,117008946,No Aplica,,,
Hugo Miranda,Miranda H.,35311316900,9-s2.0-35311316900,,3,2010-01-26,2619,3094,3,526,update,Medicine (all),2010-2011,Hospital Universitario San José,101775869,No Aplica,,,
Henry Pastas,Pastas H.,36191056200,9-s2.0-36191056200,,3,2010-08-10,2619,3094,3,526,update,Medicine (all),2010-2011,Hospital Universitario San José,101775869,No Aplica,,,
Liliana Caicedo,Caicedo L.,57224610034,9-s2.0-57224610034,,3,2021-06-21,2619,3094,3,526,update,Medicine (all),2010-2011,Hospital Universitario San José,101775869,No Aplica,,,
Héctor Fabio Londoño-Arcila,Londoño-Arcila H.,57194707771,9-s2.0-57194707771,,3,2017-07-11,361,361,2,357,update,Critical Care and Intensive Care Medicine;Anesthesiology and Pain Medicine;Medicine (all);Advanced and Specialized Nursing;Critical Care Nursing,2015-2022,Hospital Universitario San José,128779454,Unidad de Cuidados Intensivos,,,
Alvaro José Negret,Negret A.,6603328991,9-s2.0-6603328991,,3,2005-11-28,98,114,3,4,update,Earth and Planetary Sciences (miscellaneous);Earth-Surface Processes;Paleontology;Earth and Planetary Sciences (all);Plant Science,1998-2001,Universidad del Cauca,104717549,Museo de Historia Natural,,,
Jazmín Calvache-Muñoz,Calvache-Muñoz J.,57194472015,9-s2.0-57194472015,,3,2017-06-16,98,101,3,6,update,Chemical Engineering (miscellaneous);Process Chemistry and Technology;Colloid and Surface Chemistry;Pollution;Surfaces and Interfaces;Polymers and Plastics;Waste Management and Disposal;Materials Chemistry;Physical and Theoretical Chemistry,2017-2019,Universidad del Cauca,104717527,Department of Physics,,,
N. Vivas,Vivas N.,12760564900,9-s2.0-12760564900,,3,2006-03-13,97,97,1,44,update,"Plant Science;Agronomy and Crop Science;Ecology, Evolution, Behavior and Systematics;Animal Science and Zoology",2005-2015,Universidad del Cauca,60051434,No Aplica,,,
Consuelo Montes-R,Montes-R C.,6506638205,9-s2.0-6506638205,0000-0002-8117-9465,3,2005-12-02,90,90,3,1,update,"Horticulture;Physiology;Ecology, Evolution, Behavior and Systematics;Applied Mathematics;Agronomy and Crop Science;Statistics, Probability and Uncertainty;Plant Science;Ecology",1993-2005,Universidad del Cauca,60051434,No Aplica,00000000000592,"Tull, Grupo de Investigaciones para el Desarrollo Rural",0000040363
Silvio Marino Carvajal-Varona,Carvajal-Varona S.,55628201500,9-s2.0-55628201500,,3,2013-03-29,53,53,3,11,update,"Waste Management and Disposal;Health, Toxicology and Mutagenesis;Medicine (all);Water Science and Technology;Civil and Structural Engineering;Toxicology;Environmental Engineering;Pollution;Ecological Modeling",2013-2016,Universidad del Cauca,104717530,Department of Biology,,,
Ingrid Reyes-Carvajal,Reyes-Carvajal I.,55638169900,9-s2.0-55638169900,,3,2013-04-09,45,45,2,15,update,"Waste Management and Disposal;Public Health, Environmental and Occupational Health;Water Science and Technology;Toxicology;Epidemiology;Civil and Structural Engineering;Environmental Engineering;Pollution;Ecological Modeling",2013-2020,Universidad del Cauca,60051434,No Aplica,,,
Caterine Daza Gómez,Gómez C.,57204103427,9-s2.0-57204103427,,3,2018-10-13,40,41,3,2,update,"Surfaces, Coatings and Films;Materials Chemistry;Condensed Matter Physics;Ceramics and Composites;Surfaces and Interfaces;Materials Science (all)",2015-2019,Universidad del Cauca,104717527,Department of Physics,,,
Juan Carlos Argoti,Argoti J.,6504750067,9-s2.0-6504750067,0000-0003-0288-3815,3,2005-12-02,37,37,3,12,update,Chemistry (all);Nutrition and Dietetics;Biotechnology;Molecular Medicine;Molecular Biology;Food Science;Organic Chemistry;Bioengineering;Agronomy and Crop Science;Biochemistry,1998-2013,Universidad del Cauca,60051434,No Aplica,00000000003965;00000000002146,Ciencia y Tecnología de Biomoléculas de Interés Agroindustrial - CYTBIA;APROVECHAMIENTO DE SUBPRODUCTOS AGROINDUSTRIALES,0000011371
Andrés José Castrillón-Muñoz,Castrillón-Muñoz A.,57209510030,9-s2.0-57209510030,0000-0001-7670-8847,3,2019-07-02,16,35,3,3,update,"Agricultural and Biological Sciences (all);Food Science;Industrial and Manufacturing Engineering;Tourism, Leisure and Hospitality Management;Multidisciplinary;Strategy and Management;Chemical Engineering (all);Economics and Econometrics;Geotechnical Engineering and Engineering Geology;Business, Management and Accounting (all);Chemistry (all);Energy (all);Computer Science Applications;Management, Monitoring, Policy and Law;Materials Science (all);Management of Technology and Innovation;Computer Science (all)",2019-2020,Universidad del Cauca,123146430,Departamento de Ciencias del Turismo,00000000002174,Desarrollo Turístico y Regional,0000013528
Lizeth Bermeo,Bermeo L.,57219227764,9-s2.0-57219227764,,3,2020-10-06,32,32,1,18,update,"Civil and Structural Engineering;Inorganic Chemistry;Molecular Biology;Pollution;Environmental Engineering;Waste Management and Disposal;Aquatic Science;Organic Chemistry;Geography, Planning and Development;Physical and Theoretical Chemistry;Biochemistry;Spectroscopy;Computer Science Applications;Water Science and Technology;Ecological Modeling;Catalysis",2020-2022,Universidad del Cauca;Universitat Politècnica de Catalunya,113340876;115237288,Departamento de Ing. Ambiental;UNESCO Chair on Sustainability,,,
Marco Fidel Sierra-Zúñiga,Sierra-Zúñiga M.,55530768800,9-s2.0-55530768800,,3,2012-12-26,27,29,3,8,update,"Critical Care and Intensive Care Medicine;Emergency Medicine;Pediatrics, Perinatology and Child Health;Surgery",2013-2020,Universidad del Cauca,104717536,Department of Pediatrics,,,
Pilar Rivas-Pava,Rivas-Pava P.,56521685700,9-s2.0-56521685700,0000-0002-3831-5089,3,2015-02-25,23,26,2,5,update,"Ecology;Ecology, Evolution, Behavior and Systematics;Environmental Science (all);Earth and Planetary Sciences (all)",1993-2015,Universidad del Cauca,104717530,Department of Biology,,,
Edgar Ruano,Ruano E.,57195491304,9-s2.0-57195491304,,3,2017-09-02,23,25,2,7,update,Computer Science (all);Theoretical Computer Science;Software,2017-2018,Universidad del Cauca,115945793,Information Technology Research Group (GTI),,,
Julio César Luna,Luna J.,57196978693,9-s2.0-57196978693,,3,2017-11-18,23,25,2,6,update,Theoretical Computer Science;Engineering (all);Materials Science (all);Computer Science (all),2016-2020,Grupo de Investigación CreaTIC;Universidad del Cauca,125812334;104717572,Clúster CreaTIC;Departamento de Sistemas,,,
Juan Carlos Caicedo-Caicedo,Caicedo-Caicedo J.,8975415700,9-s2.0-8975415700,,3,2005-12-02,25,25,2,10,update,Surgery;Critical Care and Intensive Care Medicine;Emergency Medicine,1990-2013,Universidad del Cauca,113272975,Clinical Epidemiology Unit,,,
Jesús Eduardo Díaz-Realpe,Díaz-Realpe J.,16315932200,9-s2.0-16315932200,,3,2007-05-31,25,25,1,12,update,"Public Health, Environmental and Occupational Health;Gastroenterology;Surgery",2007-2022,Hospital Universitario San José,117008946,No Aplica,,,
Juan Pablo Caicedo,Caicedo J.,57188626875,9-s2.0-57188626875,,3,2016-04-12,24,24,3,9,update,"Internal Medicine;Surgery;Critical Care and Intensive Care Medicine;Anesthesiology and Pain Medicine;Emergency Medicine;Radiology, Nuclear Medicine and Imaging",2016-2020,Universidad del Cauca,109510232,Department of Anesthesiology,,,
Luis A. Vargas,Vargas L.,56116347800,9-s2.0-56116347800,0000-0003-0573-2502,3,2014-04-30,23,23,2,15,update,Engineering (all);Process Chemistry and Technology;Physical and Theoretical Chemistry;Chemistry (all);Catalysis;Chemical Engineering (all),2011-2021,Universidad del Cauca,112452664,Grupo de Catálisis,,,
Edward Molina,Molina E.,57195062487,9-s2.0-57195062487,,3,2017-07-26,23,23,2,10,update,Medicine (all);Computer Science (all);Nursing (all);Theoretical Computer Science;Mathematics (all),2017-2020,Universidad del Cauca,104717554,Telematics Department,,,
Juan Rincon-Patino,Rincon-Patino J.,57204009731,9-s2.0-57204009731,,3,2018-10-05,23,23,3,3,update,"Medicine (all);Geography, Planning and Development;Biochemistry, Genetics and Molecular Biology (all);Immunology and Microbiology (all);Management, Monitoring, Policy and Law;Pharmacology, Toxicology and Pharmaceutics (all);Renewable Energy, Sustainability and the Environment",2018-2018,Universidad del Cauca,104717561,Grupo de Ingeniería Telemática,,,
Liliana Quintero-Álvarez,Quintero-Álvarez L.,55229406000,9-s2.0-55229406000,,3,2012-06-01,21,21,3,13,update,"Microbiology (medical);Infectious Diseases;Pharmacology (medical);Public Health, Environmental and Occupational Health",2010-2016,Secretaría de Salud Municipal,116735865,No Aplica,,,
Claudia Holguin Betancourt,Betancourt C.,57219240486,9-s2.0-57219240486,,3,2020-10-07,19,19,2,78,update,"Oncology;Radiology, Nuclear Medicine and Imaging;Cancer Research;Pediatrics, Perinatology and Child Health",2020-2022,Universidad del Cauca,104717536,Department of Pediatrics,,,
Paola Andrea Gómez-Buitrago,Gómez-Buitrago P.,56974242900,9-s2.0-56974242900,0000-0001-8343-3255,3,2015-12-01,17,17,2,8,update,Library and Information Sciences;Chemistry (all);Engineering (miscellaneous);Medicine (all),2014-2021,Universidad del Cauca,60051434,No Aplica,,,
Jhon Masso,Masso J.,57215543380,9-s2.0-57215543380,0000-0002-9977-2881,3,2020-03-15,17,17,1,6,update,Engineering (all);Software;Law;Hardware and Architecture,2020-2022,Universidad del Cauca,60051434,No Aplica,,,
Edwin Ferney Castillo,Castillo E.,57190186052,9-s2.0-57190186052,,3,2016-07-20,16,16,2,7,update,"Theoretical Computer Science;Computer Science (all);Management Information Systems;Information Systems and Management;Statistics, Probability and Uncertainty;Computer Networks and Communications",2016-2020,Universidad del Cauca,104717554,Telematics Department,,,
Rodolfo L. Casas-P,Casas-P R.,34167473100,9-s2.0-34167473100,,3,2009-09-10,15,15,3,6,update,Obstetrics and Gynecology,2009-2013,Universidad del Cauca,104717535,Department of Obstetrics and Gynecology,,,
Isabel Zambrano-Muñoz,Zambrano-Muñoz I.,36987033400,9-s2.0-36987033400,0000-0001-8092-4577,3,2011-03-06,15,15,1,11,update,"Pediatrics, Perinatology and Child Health;Public Health, Environmental and Occupational Health",2010-2022,Universidad del Cauca,114888793,Departamento de Fonoaudiología,00000000002936,"COMUNICACION, SALUD Y DESARROLLO SOCIAL",0000579530
Isabel Turbay,Turbay I.,57214993457,9-s2.0-57214993457,0000-0002-4253-4399,3,2020-02-26,14,15,1,13,update,Anthropology;Archeology (arts and humanities);Conservation;Archeology;Architecture;Visual Arts and Performing Arts;Computer Science Applications;History,2019-2021,Fundación Universitaria de Popayán,123928780,Facultad de Arquitectura,00000000008156;00000000010589,Ingeniería de tránsito;GRUPO DE ESTUDIOS DEL PAISAJE GREP,0000068715
Yamid Arley Mera-Velasco,Mera-Velasco Y.,43462225700,9-s2.0-43462225700,0000-0002-5221-8824,3,2011-08-01,15,15,2,8,update,"Insect Science;Museology;Conservation;Ecology, Evolution, Behavior and Systematics",2010-2019,Universidad del Cauca,60051434,No Aplica,00000000008159;00000000006175,Grupo de Estudios Ambientales;Cadenas de Valor,0000870064
Oscar Amaury Rojas Alvarado,Rojas Alvarado O.,56682882800,9-s2.0-56682882800,,3,2015-06-22,13,15,2,3,update,Hardware and Architecture;Artificial Intelligence;Signal Processing;Computer Vision and Pattern Recognition;Mechanical Engineering,2014-2019,Universidad del Cauca,104717537,Department of Electronics,,,
Jorge Armando Villegas,Villegas J.,55931447100,9-s2.0-55931447100,,3,2013-11-28,14,14,2,9,update,Information Systems;Information Systems and Management;Computer Science Applications;Computer Science (all);Software;Theoretical Computer Science,2013-2018,Universidad del Cauca,115945793,Information Technology Research Group (GTI),,,
Julián Murillo-Palacios,Murillo-Palacios J.,57208774260,9-s2.0-57208774260,0000-0002-7593-9982,3,2019-05-23,12,14,2,9,update,"Critical Care Nursing;Medicine (all);Anesthesiology and Pain Medicine;Critical Care and Intensive Care Medicine;Food Science;Nutrition and Dietetics;Endocrinology, Diabetes and Metabolism;Advanced and Specialized Nursing",2019-2022,Universidad del Cauca,104717539,Department of Internal Medicine,,,
Sandra Morales-Velasco,Morales-Velasco S.,57218898084,9-s2.0-57218898084,0000-0003-2655-9366,3,2020-09-16,9,13,2,7,update,Plant Science;Agronomy and Crop Science;Environmental Science (all);Animal Science and Zoology;Engineering (all);Soil Science,2020-2022,Universidad del Cauca,128584043,Grupo de Investigación Nutrifaca,00000000000625,NUTRIFACA,0000347485
Stivens A. Dionizio,Dionizio S.,57200219365,9-s2.0-57200219365,,3,2018-01-16,13,13,1,17,update,Physics and Astronomy (all);Materials Science (all);Chemistry (all),2018-2022,Universidad del Cauca,104717527,Department of Physics,,,
Eva González Tanco,Tanco E.,57202548023,9-s2.0-57202548023,0000-0003-3226-0846,3,2018-06-23,13,13,1,2,update,Language and Linguistics;Social Sciences (all);Communication;Arts and Humanities (all);Linguistics and Language,2018-2022,Universidad del Cauca,60051434,No Aplica,00000000002726,ESTUDIOS CULTURALES Y DE LA COMUNICACIÓN ECCO,0001481217
Guillermo Andres Ospina,Ospina G.,11738854600,9-s2.0-11738854600,0000-0002-6387-5440,3,2006-02-16,12,12,1,4,update,"Aquatic Science;Sociology and Political Science;Environmental Science (all);Oceanography;Ecology;Gender Studies;Social Sciences (all);Arts and Humanities (miscellaneous);Ecology, Evolution, Behavior and Systematics;Environmental Chemistry;Cultural Studies;History",2006-2016,Universidad del Cauca,60051434,No Aplica,00000000002175,Grupo de Estudios Sociales Comparativos,0000250309
Carlos Alejandro López Albán,Albán C.,36947618200,9-s2.0-36947618200,,3,2011-06-29,12,12,2,9,update,"Medicine (all);Physical Therapy, Sports Therapy and Rehabilitation;Orthopedics and Sports Medicine",2008-2009,Universidade Federal do Rio Grande do Sul;Centro para la Investigacion en Salud Y Rendimiento Humano ZOE Calidad de Vida;Universidad del Cauca,60006726;60091582;60051434, ; ,,,
