idcvlac,nombre,url
0001548750,Autor ID (Scopus),https://www.scopus.com/authid/detail.uri?authorId=24528423700
0001548750,Open Researcher and Contributor ID (ORCID),https://orcid.org/0000-0002-6388-3897
0000348830,Open Researcher and Contributor ID (ORCID),https://orcid.org/0000-0002-9773-7660
0000122012,Open Researcher and Contributor ID (ORCID),https://orcid.org/0000-0002-5784-9131
0000376256,Autor ID (Scopus),https://www.scopus.com/authid/detail.uri?authorId=55216602900
0000376256,Open Researcher and Contributor ID (ORCID),https://orcid.org/0000-0002-0601-3481
0001413698,Autor ID (Scopus),https://www.scopus.com/authid/detail.uri?authorId=57208670235
0001413698,Open Researcher and Contributor ID (ORCID),https://orcid.org/0000-0002-4489-2712
0000411930,ResearcherID (Thomson Reuters - WOS),https://publons.com/researcher/3037608/diego-alberto-bravo-montenegro/
0000411930,Autor ID (Scopus),https://www.scopus.com/authid/detail.uri?authorId=57189598397
0000411930,Open Researcher and Contributor ID (ORCID),https://orcid.org/0000-0001-7041-3183
0001627743,Open Researcher and Contributor ID (ORCID),https://orcid.org/0000-0003-2890-3087
0000406279,ResearcherID (Thomson Reuters - WOS),https://publons.com/researcher/4268397/mariela-munoz-anasco/
0000406279,Autor ID (Scopus),https://www.scopus.com/authid/detail.uri?authorId=56287151400
0000406279,Open Researcher and Contributor ID (ORCID),https://orcid.org/0000-0003-4392-947X
0000308765,Open Researcher and Contributor ID (ORCID),https://orcid.org/0000-0002-3919-563X
0000722391,Open Researcher and Contributor ID (ORCID),https://orcid.org/0000-0002-3810-5591
0001240285,Autor ID (Scopus),https://www.scopus.com/authid/detail.uri?authorId=57202510358
0000084546,Open Researcher and Contributor ID (ORCID),https://orcid.org/0000-0002-0793-1137
0000035637,Autor ID (Scopus),https://www.scopus.com/authid/detail.uri?authorId=36490337800
0000722960,Autor ID (Scopus),https://www.scopus.com/authid/detail.uri?authorId=7404124814
0000722960,Open Researcher and Contributor ID (ORCID),https://orcid.org/0000-0002-7959-9962
0000868183,Open Researcher and Contributor ID (ORCID),https://orcid.org/0000-0003-3842-8849
0000012386,Autor ID (Scopus),https://www.scopus.com/authid/detail.uri?authorId=6701647223
0000014001,Autor ID (Scopus),https://www.scopus.com/authid/detail.uri?authorId=36861741700
0000014001,Open Researcher and Contributor ID (ORCID),https://orcid.org/0000-0002-5916-2552
0001494395,Autor ID (Scopus),https://www.scopus.com/authid/detail.uri?authorId=1061734971
0001494395,Open Researcher and Contributor ID (ORCID),https://orcid.org/0000-0002-8059-9177
0001844309,Open Researcher and Contributor ID (ORCID),https://orcid.org/0000-0003-2615-3294
0000232122,Autor ID (Scopus),https://www.scopus.com/authid/detail.uri?authorId=8568805300
0000232122,Open Researcher and Contributor ID (ORCID),https://orcid.org/0000-0002-7099-8131
0000892980,ResearcherID (Thomson Reuters - WOS),https://publons.com/researcher/4453065/cesar-jesus-pardo-calvache/
0000892980,Open Researcher and Contributor ID (ORCID),https://orcid.org/0000-0002-6907-2905
0001249398,Autor ID (Scopus),https://www.scopus.com/authid/detail.uri?authorId=35746975300
0001249398,Open Researcher and Contributor ID (ORCID),https://orcid.org/0000-0002-9045-6997
0001816402,Open Researcher and Contributor ID (ORCID),https://orcid.org/0000-0002-4055-7888
0000693731,Open Researcher and Contributor ID (ORCID),https://orcid.org/0000-0002-4680-2661
0000140864,Autor ID (Scopus),https://www.scopus.com/authid/detail.uri?authorId=54414603400
0000140864,Open Researcher and Contributor ID (ORCID),https://orcid.org/0000-0001-9375-639X
0000014010,Autor ID (Scopus),https://www-scopus-com.acceso.unicauca.edu.co/authid/detail.uri?authorId=57195195220
0000014010,Open Researcher and Contributor ID (ORCID),https://orcid.org/0000-0003-0668-4485
0001425138,Autor ID (Scopus),https://www.scopus.com/authid/detail.uri?authorId=56521702700
0001425138,Open Researcher and Contributor ID (ORCID),https://orcid.org/0000-0003-0644-5679
0000071305,Autor ID (Scopus),https://www.scopus.com/authid/detail.uri?authorId=57209654533
0000071305,Open Researcher and Contributor ID (ORCID),https://orcid.org/0000-0001-9527-4108
0000264636,Autor ID (Scopus),https://www.scopus.com/authid/detail.uri?authorId=27267569100
