idgruplac,verificado,tipo,nombre,lugar,revista,issn,fecha,volumen,fasciculo,paginas,autores
00000000021902,True,Revista de divulgación,"Nivel de sedentarismo y capacidad cardiorrespiratoria de estudiantes de secundaria, Popayán - Colombia",Chile,Journal of Movement & Health,2452-5812,2021,18,,1 - 15,LUZ MARINA CHALAPUD NARVAEZ
00000000021902,True,Revista de divulgación,"Aplicación de Design Thinking en el desarrollo de Recursos Educativos Abiertos, caso reactiva2",México,Coloquio De Investigación Multidisciplinaria,2007-8102,2020,8,1,2185 - 2192,LUZ MARINA CHALAPUD NARVAEZ
00000000002146,True,Periódico de noticias,Modelado de los fluidos supercriticos,Colombia,Revista Biotecnología En El Sector Agropecuario Y Agroindustrial,1909-9959,2006,4,,135 - 143,REINALDO VELASCO MOSQUERA
00000000002146,True,Revista de divulgación,Patente para plástico de almidón de yuca,Colombia,Universia Business Review,1698-5117,2006,6,,8 - 10,HECTOR SAMUEL VILLADA CASTILLO
00000000021902,True,Revista de divulgación,"INCIDENCIA DEL SEDENTARISMO EN LA POSTURA Y LA CAPACIDAD CARDIORRESPIRATORIA DE LOS ESTUDIAN-TES DE LA INSTITUCIÓN EDUCATIVA EL MIRADOR, DE POPAYÁN",Brasil,Revista Ceciliana,2175-7224,2019,11,nN/A,395 - 395,LUZ MARINA CHALAPUD NARVAEZ
00000000002175,True,Revista de divulgación,Fetichización del paper y capitalismo cognitivo,México,Revista Latinoamericana de Educación y Estudios Interculturales,2448-8801,2021,5,4,53 - 62,JORGE ALBERTO LOPEZ GUZMAN
00000000002146,True,Revista de divulgación,Variables que afectan la calidad de la panela procesada en el Departamento del Cauca.,Chile,Actualidad Iberoamericana,0717-3636,2007,10,,16,"SILVIO ANDRES MOSQUERA SANCHEZ, HECTOR SAMUEL VILLADA, JORGE ELIECER CARRERA"
00000000002146,True,Revista de divulgación,Usos de cartas de control para el análisis de calidad en manufactura de sacos de polipropileno,Chile,Actualidad Iberoamericana,0717-3636,2007,10,,17,"SILVIO ANDRES MOSQUERA SANCHEZ, JENNY FLOR CABRERA, JHON JAIRO NARVAEZ"
00000000002146,True,Periódico de noticias,Evaluación de las propiedades mecánicas de harina de amaranto termoformadas (Amaranthus caudatus) con polvillo de fique,Colombia,Revista Biotecnología En El Sector Agropecuario Y Agroindustrial,1909-9959,2008,6,,61 - 65,"SILVIO ANDRES MOSQUERA SANCHEZ, HECTOR SAMUEL VILLADA, JUAN PABLO CASTANEDA"
00000000002146,True,Revista de divulgación,Producción de Dextrinas a partir de Almidón Nativo de Yuca por Ruta Seca en una Agroindustria,Chile,Actualidad Iberoamericana,0717-3636,2008,11,,9,REINALDO VELASCO MOSQUERA
00000000002175,True,Revista de divulgación,Apología a la Primera Línea,Colombia,Filología. Gacetilla Académica y Cultural,2619-5305,2021,4,17,13 - 14,JORGE ALBERTO LOPEZ GUZMAN
00000000002146,True,Revista de divulgación,Empaques y envases para alimentos,Colombia,Revista Virtual Pro,1900-6241,2008,81,,1 - 44,HECTOR SAMUEL VILLADA CASTILLO
00000000002146,True,Revista de divulgación,Nuevas Tendencias de empaques para alimentos Biopolímeros naturales usados en empaques biodegradables,Colombia,Revista Virtual Pro,1900-6241,2008,81,,23,REINALDO VELASCO MOSQUERA
00000000010589,True,Revista de divulgación,Inza ¿ Cauca. Salida de campo,Colombia,Trazsos Diseño,2011-1800,2006,1,,17 - 18,SORY ALEXANDER MORALES FERNANDEZ
00000000011727,True,Revista de divulgación,El mito en la poesía de Giovanni Quessep,Colombia,Taller De Forja,2339-4560,2013,1,3,1 - 15,ADRIANA DEL ROCIO HERNANDEZ YASNO
00000000010589,True,Revista de divulgación,Situación actual de la arquitectura,Colombia,Trazsos Diseño,2011-1800,2006,1,,1 - 1,LILIANA VARGAS AGREDO
