idcvlac,nombre,activa
0001492988,Informática Educativa,Si
0001492988,Seguridad Informática/Seguridad de la Información,Si
0000155379,Ingeniería del software,Si
0000438456,Entorno y Política Públicas,Si
0000438456,Calidad de la Educación Superior,Si
0000438456,Administración y Políticas de Educación Superior,Si
0000438456,Acceso y Equidad en Educación Superior,Si
0000165128,"Big Data, aplicaciones web",Si
0000900893,Inteligencia Artificial,Si
0000900893,Juegos serios,Si
0000900893,Desarrollo de Software,No
0001605118,TIC en educacion,Si
0001605118,Investigacion Gobierno y Gestion de TI,Si
0001605118,Gamificación,Si
0001605118,Desarrollo de Software,Si
0001727629,Percepción remota,Si
0000920380,Ingeniería de Software,Si
0000920380,Desarrollo en Informatica,Si
0001620320,Aprendizaje Colaborativo,Si
0000001761,Independencia en los países andinos,No
0000139617,Género,Si
0000002006,Historia social y cultural,Si
0000312304,Historia Educativa Local,Si
0000063743,Organizaciones solidarias con enfoques diferenciales,Si
0000063743,Usos y apropiación de la Plaza de Mercado del Barrio Bolívar,No
0000063743,Territorio y comunicación: Desarrollo y extractivismos mineros,Si
0000000404,Historia económica y empresarial del Suroccidente Colombiano,Si
0000000404,Región y Poder en la Construcción de Nación,Si
0000000404,Historia Regional del suroccidente colombiano,Si
0000000404,Historia política,Si
0001351820,Historia de la ciencia,Si
0001351820,Formación,No
0001351820,Historia del libro antiguo,Si
0000709786,"LINEA DE COMPETITIVIDAD,  GESTION Y DESARROLLO EMPRESARIAL",Si
0000709786,RECUBRIMIENTOS DUROS,Si
0000709786,LINEA DE INVESTIGACION EN  ADMINISTRACION DE LAS OPERACIONES Y DE LA PRODUCCION,Si
0000709786,2.	Línea de investigación y creación de nuevos materiales para la producción,Si
0000709786,Línea en logística integral en desarrollo regional,Si
0000709786,Productividad,Si
0000025619,Procesos,Si
0000025619,Productividad,Si
0000724971,materiales electroceramicos,Si
0000724971,materiales bioceramicos,Si
0000724971,Sintesis y conformado de materiales ceramicos,Si
0000724971,Ingeniería Aplicada a procesos,Si
0000724971,Productividad,Si
0000724971,Braquiterapia,Si
0000521965,Tecnologia de membranas,Si
0000521965,Alcoholes,Si
0000521965,microbiologia,Si
0000521965,Mejoramiento de procesos,Si
0000521965,licores,Si
0000521965,desarrollo de licores,Si
0000521965,lean manufacturing,Si
0000521965,Producción,Si
0000032920,Productividad,Si
0001649662,Procesos industriales,Si
0001649662,Realidad virtual y aumentada,Si
0001649662,Robótica y percepción avanzada,Si
0001624639,Mejoramiento de Procesos,Si
0001624639,Control de características de calidad,Si
0001624639,Robótica,No
0001624639,Investigación de operaciones,Si
0001624639,Visión de Maquina,Si
0001624639,Lean Manufacturing,Si
0001576390,"Aprovechamiento de subproductos agroindustriales 
Logística y cadena de suministro",Si
0001760200,Productividad,Si
0001760200,Nuevos productos,Si
0000129494,Ingeniería de la calidad,Si
0000129494,Mejoramiento de procesos,Si
0000129494,Productividad,Si
0000129494,Educación,Si
0000129494,Nuevas tecnologías de la industria 4.0,Si
0000411884,Transporte electrico,Si
0000411884,Productividad,Si
0000411884,Bioingenieria,Si
0000267244,Nutrición Animal,Si
0000267244,Nutricion Animal,Si
0000267244,PAstos y Forrajes,Si
0000267244,Forrajes y Forrajicultura,Si
0000267244,Dirección grupo de investigacion Nutrición Agropecuaria,Si
0000267244,Nutricion animal,No
0000267244,Nutricion Animal,No
0000267244,Produccion animal,No
0000267244,Apicultura - Mejoramiento Genetico,No
0000267244,Mejoramiento genetico de la abeja Apis mellifera l,No
0000267244,Forrajes Tropicales,Si
0000347485,Ecología,No
0000347485,Sistemas sostenilbes de producción,No
0000347485,Intensificación Sostenible,Si
0000062331,Sistemas Integrados de Producción Agropecuaria,Si
0000195561,Concentados y porcicultura,Si
0000195561,Alimentación Animal,Si
0000720011,"Propiedades ópticas, eléctricas y magnéticas de óxidos mixtos",Si
0000720011,Ingeniería Colaborativa,Si
0000720011,Estudio del proceso de detección de gases,Si
0000720011,Síntesis y procesamiento de materiales cerámicos funcionales,Si
0001237675,Gestión e innovación Agroindustrial,Si
0001237675,Metodologia de la investigación cientifica,Si
0001237675,Nutrición Animal,Si
0001237675,Pastos y forrajes,Si
0001237675,Tecnicas de laboratorio de Calidad de forrajes,Si
0001237675,Formulación de Proyectos,Si
0001370725,Alimentación Animal Alternativa,Si
0001370725,Administración Ambiental,Si
0001370725,Ciencias Agrarias,Si
0001370725,Biotecnologia,Si
0001370725,Bioctenologia Vegeral (propagación In vitro de plantas),Si
0001370725,Biotecnologia aplicada a alimentación acuicola,Si
0001370725,Analisis fisicoquimico de Agua,Si
0001370725,Nutrición animal,Si
0001370725,Biodiversidad,Si
0001467296,Biofertilizantes,Si
0001467296,Producción agropecuaria,Si
0001467296,Praderas,Si
0001467296,Produccion animal,Si
0000040103,Gestión del recurso hídrico,Si
0000040103,Investigación en Nutricion Ambiental y Medio Ambiente,Si
0000018449,Pastos y Forrajes,Si
0000018449,Medio Ambiente,Si
0001551734,Sanidad piscicola,Si
0001551734,Producción Bovina,Si
0000349941,"1.989 Estudio de Algunos Factores Que Influyen en la Producción y Calidad de la Panela en una zona del municipio de Rosas,  Departamento del Cauca",Si
0000349941,1.997 Efecto de Lombricompuestos sobre el establecimiento y producción de  Morera,Si
0000349941,1.998 Indicadores Técnicos Económicos sobre el beneficio del Café en el Departamento del Cauca,Si
0000349941,1.999 Parcela integral productiva del Cafetero Caucano,Si
0000349941,2.000 Actualización FÍsica de Suelos en la Meseta de Popayán,Si
0000349941,Producción y Calidad,Si
0000349941,Producción Orgánica,Si
0000349941,Indicadores Técnicos Económicos,Si
0000169151,Diseño de proyectos,No
0000169151,Conservación de suelos,No
0000169151,Evaluación agronómica de forrajes,No
0000039315,Manejo sostenible del suelo,Si
0000039315,Producción animal,Si
0001474092,Nutrición Agropecuaria,Si
0001474092,Suplementos nutricionales,Si
0001474092,Nutrición animal - suplementos nutricionales,Si
0001474092,Ganadería,Si
0001474092,Cambio climático,Si
0001474092,Evaluación agronómica de Forrajes,Si
0001637639,Desarrollo y uso de recursos forrajeros en sistemas sostenibles de producción bovina para el departamento del Cauca,Si
0001243306,Produccion pecuaria,Si
0001243306,Nutricion animal,Si
0001464030,Agroecologia y cambio climatico,Si
0001464030,"Investigadora de ¿Tull, grupo de investigaciones para el desarrollo rural¿",Si
0001464030,Nutricion agropecuaria,Si
0001464030,educacion rural,Si
0001464030,Desarrollo rural,Si
0000039603,Nutrición Animal y vegetal,Si
0000039603,Gestión territorial y ambiental,No
0001408212,pastos y forrajes,Si
0001408212,Nutricion animal,Si
0001300121,Details of the position: I was employed as a Research Associate/PostDoc in a collaborative project between the University of Hohenheim (Prof. R. Schultze-Kraft) and the International Livestock Research Institute (formerly International Livestock Cent,No
0001300121,"Though employed as a Forage Germplasm Specialist, to respond to changing it was necessary to amplify",Si
0000044115,Cambio climático,Si
0000044115,Ganadería sostenible,Si
0000044115,Agricultura sostenible,Si
0000344150,"Participación como coinvestigador en el proyecto ""Fortalecimiento de una Red de Educación Rural para la Capacitación, el Fomento de Proyectos Productivos y la Seguridad Alimentaria en los municipios de Timbio y el Tambo como estrategía de prevención",No
0000344150,"Alimentación y Nutrición ""Aumento de la Productividad Competitividad y Sostenibilidad de Sistemas de Pequeños y Medianos Productores de Carne en la Cuenca del Patía y Meseta de Popayán"". Contrato N° 2007H1526 778-938/2007 derivado del convenio N° 057",Si
0001596901,Nutricion agropecuaria,Si
0001475003,Producción animal,Si
0001401769,Elaboración de alimentos,Si
0001401769,Producción Animal - Nutrición,Si
0001401769,Balance y elaboración de dietas,Si
0000149503,Pastos y forrajes,No
0000149503,Biotecnología,Si
0000149503,Nutrición animal,Si
0000149503,Biotecnología alimentaria,Si
0001378453,Nutrición Agropecuaria,Si
0001378453,Desarrollo rural,Si
0001378453,Producción Agropecuaria,Si
0001378453,Comercializacion,Si
0000952265,Lineas de Productos Software,Si
0000952265,Ingeniería del Software,Si
0000952265,Ingeniería de la colaboración,Si
0000923028,Desarrollo de Software,Si
0000923028,Redes,Si
0001417830,Ingeniería del Software,Si
0001417830,Organización de la Información,Si
0001417830,Mejora de Procesos de Software,No
0001417830,Interacción Humano Computador,Si
0001417830,Computación afectiva,Si
0001417830,Usabilidad,Si
0000896535,Desarrollo de Software,Si
0000896535,Redes,Si
0000043879,JUEGOS SERIOS,No
0000043879,ACCESIBILIDAD WEB,Si
0000916897,Desarrollo de Software,Si
0000916897,Redes,Si
0001635108,Videojuegos,Si
0001500497,Internet de las Cosas,Si
0000915416,Desarrollo de Software,Si
0001341288,Ingenieria de Software,Si
0000159427,Inteligencia de Negocios,Si
0000159427,Seguridad de la Información,Si
0000159427,Bases de Datos,Si
0000862282,Tecnologia en educacion matematica,No
0000012130,Metales pesados,No
0000012130,Control de Calidad de Materias Primas,No
0000012130,Control de Calidad de Producto terminado Vinos,No
0000012130,Análisis de Etanol,No
0000012130,Control de Calidad en recipientes y empaques del producto terminado,No
0000012130,Contaminación Ambiental,No
0000012130,Análisis de Aguas Volcánicas,No
0000012130,Parámetros fisicoquímicos,No
0000012130,Metales Pesados,No
0000012130,Iones en aguas volcánicas,No
0000012130,Hidrocarburos,No
0000012130,Análisis de Neurotoxinas en escorpiones,No
0000012130,Biología molecular,No
0000012130,Control de calidad en alimentos,No
0000012130,Seguridad agroalimentaria,No
0000012130,Metagenómica,Si
0000012130,Metales pesados,Si
0000012130,Seguridad alimentaria,Si
0000635863,Leche,Si
0000635863,Zumos,Si
0000635863,Tratamientos térmicos,Si
