idgruplac,verificado,tipo,nombre,lugar,fecha,disponibilidad,url,nombre_comercial,nombre_proyecto,institucion,autores
00000000008160,False,Computacional,APLICACIÓN MÓVIL PARA LA DETECCIÓN DE EVENTOS EPILEPTIFORMES BASADA EN SENSORES WEARABLE,Colombia,2020,Restringido,"Ministerio de Ciencia, Tecnología e Innovación - Minciencias",APLICACIÓN MÓVIL PARA LA DETECCIÓN DE EVENTOS EPILEPTIFORMES BASADA EN SENSORES WEARABLE,,"Ministerio de Ciencia, Tecnología e Innovación - Minciencias","DIEGO MAURICIO LOPEZ GUTIERREZ, MARIA EUGENIA MINO ARANGO, RICARDO AGUILAR BOLANOS, MARITZA FERNANDA MERA GAONA, RUBIEL VARGAS CANAS, EDWARD ALEXIS MOLINA RIVERA, CAMILO ERNESTO SARMIENTO TORRES"
00000000008159,False,Computacional,agromva,Colombia,2011,Restringido,No Aplica,agromva,Universidad del Cauca,No Aplica,DAVID CAMILO CORRALES MUNOZ
00000000008159,False,Computacional,Plataforma de entrega de servicios de monitoreo ambiental bajo una perspectiva de arquitectura basada en servicios,Colombia,2011,Restringido,No Aplica,,,No Aplica,SILVIO ANDRES ORDONEZ ZUNIGA
00000000008159,False,Computacional,SOFTWARE EDUCATIVO Y PROGRAMA INTERACTIVO PARA EL DESARROLLO DEL LENGUAJE EN EL NIVEL SEMANTICO.,Colombia,2011,Restringido,UNIVERSIDAD DEL CAUCA,,,UNIVERSIDAD DEL CAUCA,YADY TATIANA SOLANO CORREA
00000000008159,False,Computacional,Modelo para la determinación de la productividad primaria neta o bruta del cultivo de café con énfasis en la eficiencia fotosintética y el uso del agua,Colombia,2018,Restringido,"Ministerio de Ciencia, Tecnología e Innovación.",Modelo para la determinación de la productividad primaria neta o bruta del cultivo de café con énfasis en la eficiencia fotosintética y el uso del agua,,"Ministerio de Ciencia, Tecnología e Innovación.",ANGELA MARIA CASTANO MARIN
00000000008159,False,Computacional,DISEÑO DE UNA PLATAFORMA PARA EL CÁLCULO DE LA EFICIENCIA ENERGÉTICA EN UN SISTEMA CAFETERO,Colombia,2019,Restringido,"Ministerio de Ciencia, Tecnología e Innovación - Minciencias",AcCoffee,,"Ministerio de Ciencia, Tecnología e Innovación - Minciencias","CRISTIAN MENDEZ RODRIGUEZ, APOLINAR FIGUEROA CASAS"
00000000002726,False,Multimedia,Memoria Nasa,Colombia,1999,,No Aplica,,,No Aplica,ALEXANDER BUENDIA ASTUDILLO
00000000000694,False,Computacional,Identificación Recursiva de Sistemas Dinámicos,Colombia,2003,Irrestricta,UNIVERSIDAD DEL CAUCA,,,UNIVERSIDAD DEL CAUCA,CARLOS FELIPE RENGIFO RODAS
00000000000694,False,Computacional,Herramienta para Transacciones Industriales MTI,Colombia,2004,Irrestricta,UNIVERSIDAD DEL CAUCA,,,UNIVERSIDAD DEL CAUCA,"OSCAR AMAURY ROJAS ALVARADO, GIOVANNI FERNANDEZ RODRIGUEZ, FRANCY JULIETH POSADA PARRA"
00000000014080,False,Multimedia,VideoJuego Cuetaya,Colombia,2016,Restringido,No Aplica,,,No Aplica,CAROLINA GONZALEZ SERRANO
00000000014080,False,Computacional,Una Aventura por el Cauca,España,2016,No restringido,No Aplica,Una Aventura por el Cauca,,No Aplica,HENDRYS FABIAN TOBAR MUNOZ
00000000014080,False,Multimedia,Cuetaya: Tierra de Colores,Colombia,2016,No restringido,No Aplica,Cuetaya: Tierra de Colores,,No Aplica,HENDRYS FABIAN TOBAR MUNOZ
00000000014080,False,Multimedia,Tsiunas. VideoJuego para prevención en Violencia de Género - VBG,Colombia,2018,Restringido,ONU MUJERES,,,ONU MUJERES,CAROLINA GONZALEZ SERRANO
00000000008160,False,Computacional,APLICACIÓN DE HISTORIA CLÍNICA ELECTRÓNICA PARA EL DIAGNÓSTICO REMOTO DE LA EPILEPSIA (HCE NEUROMOTIC),Colombia,2019,No restringido,"Ministerio de Ciencia, Tecnología e Innovación - Minciencias",NeuroEHR,,"Ministerio de Ciencia, Tecnología e Innovación - Minciencias","DIEGO MAURICIO LOPEZ GUTIERREZ, EDWARD ALEXIS MOLINA RIVERA, RUBIEL VARGAS CANAS, CAMILO ERNESTO SARMIENTO TORRES, MARIA EUGENIA MINO ARANGO, MARITZA FERNANDA MERA GAONA, RICARDO SALAZAR CABRERA"
00000000008160,False,Computacional,NFC Player,España,2009,No restringido,UNIVERSIDAD CARLOS III DE MADRID,NFC Player,Gradient Lab - Universidad Carlos III de Madrid,UNIVERSIDAD CARLOS III DE MADRID,"GUSTAVO ADOLFO RAMIREZ GONZALEZ, MARIO MUNOZ ORGANERO, CARLOS DELGADO KLOOS, ANGELA CHANTRE ASTAIZA"
00000000008160,False,Computacional,Sistema de gestión de datos de tráfico para las centrales DMS 100/200 de Nortel,Colombia,2000,Restricta,Nortel Networks,,,Nortel Networks,"HECTOR FABIO JARAMILLO ORDONEZ, WILLIAM FERNANDO JARAMILLO CIFUENTES, DIEGO ANDRES ACOSTA ORTIZ"
00000000008160,False,Computacional,Plataforma Integrada de Productos y Servicios para la Creación de Ambientes de Colaboración,Colombia,2009,Restringido,Parquesoft Popayán,,,Parquesoft Popayán,CRISTHIAN NICOLAS FIGUEROA MARTINEZ
00000000008160,False,Computacional,Red Telemática para la Prestación de Servicios de Telesalud y Telemedicina,Colombia,2001,Restricta,"Ministerio de Ciencia, Tecnología e Innovación.",,,"Ministerio de Ciencia, Tecnología e Innovación.","RAFAEL RENGIFO PRADO, JAIRO MEJIA, MARIA DEL PILAR RESTREPO PAZ, ALONZO RUIZ PEREA, JUAN MARTIN VELASCO MOSQUERA"
00000000008160,False,Computacional,Videoteca Virtual,Colombia,2001,,U del Cauca,,Disponible a petición en los registros del Instituto de Posgrados de la Facultad de Electrónica y Telecomunicaciones.,U del Cauca,"GUSTAVO ADOLFO RAMIREZ GONZALEZ, CARLOS ENRIQUE SERRANO CASTANO, DARIO ERNESTO MELO YEPEZ"
00000000008160,False,Computacional,Carts tool,España,2002,Restricta,No Aplica,CARTS tool,,No Aplica,"JOSE LUIS ARCINIEGAS HERRERA, VICTOR MARTINEZ, MIGUEL MARTINEZ, JUAN CARLOS DUENAS LOPEZ"
00000000008160,False,Computacional,SIGAPAB. Sistema de Información para la Gestión de las Acciones de Proyectos PAB Departamentales y Municipales,Colombia,2002,Restricta,Dirección Departamental De Salud Del Cauca,SIGAPAB,"Acta de Terminación del Convenio (Fase I), de 30 de abril de 2002",Dirección Departamental De Salud Del Cauca,"ALVARO RENDON GALLON, DIEGO MAURICIO LOPEZ GUTIERREZ, HUGO BELALCAZAR, JUAN CARLOS ORTIZ, EDGAR RENDON GALLON"
00000000008160,False,Computacional,SIGAPAB. Sistema de Información para la Gestión de las Acciones de Proyectos PAB Departamentales y Municipales,Colombia,2002,,Dirección Departamental de Salud,SIGAPAB,"Acta de Terminación del Convenio (Fase I), de 30 de abril de 2002",Dirección Departamental de Salud,"DIEGO MAURICIO LOPEZ GUTIERREZ, ALVARO RENDON GALLON, EDGAR RENDON GALLON, JUAN CARLOS ORTIZ"
00000000008160,False,Computacional,Sonda para RAS,Colombia,2003,Restricta,ITEC-TELECOM,,,ITEC-TELECOM,WILMAR YESID CAMPO MUNOZ
00000000008160,False,Computacional,Herramienta de gestión para estaciones de usuario basada en los estándares del DMTF-MAFUS,Colombia,2003,,No Aplica,,,No Aplica,"NATALIA CAROLINA MAYA ORTIZ, EVA JULIANA MAYA ORTIZ"
00000000008160,False,Computacional,Pasarela WiFi-VHF,Colombia,2003,Irrestricta,"Ministerio de Ciencia, Tecnología e Innovación.",Pasarela EHAS WiFi-VHF,"El Programa InfoDev del Banco Mundial financió el proyecto ""Hispano American Health Link"" (ID Number 611-010601), para la instalación de sendos sistemas en los hospitales de Silvia y Guambía.","Ministerio de Ciencia, Tecnología e Innovación.","ALVARO RENDON GALLON, MARIA FERNANDA DULCEY"
00000000008160,False,Computacional,PROMETEO,Colombia,2004,Irrestricta,UNIVERSIDAD DEL CAUCA,,,UNIVERSIDAD DEL CAUCA,"OSCAR MAURICIO CAICEDO RENDON, GABRIEL ALBERTO VASQUEZ, EULER ADRIAN TREJO"
00000000008160,False,Computacional,SIGSA - ANÁLISIS ESPACIAL Y GENERACIÓN DE CAPAS DE INFORMACIÓN TEMÁTICA - AMBIENTAL PARA LOS MODELOS SIG EN SALUD,Colombia,2004,Restricta,Dirección Departamental De Salud Del Cauca,,,Dirección Departamental De Salud Del Cauca,"JUAN CARLOS CORRALES MUNOZ, CARLOS ARTURO LEON ROA, APOLINAR FIGUEROA, ORLANDO GIOVANNY SOLARTE"
00000000008160,False,Computacional,Plataforma para el desarrollo de Servicios de Localización en Dispositivos Móviles,Colombia,2004,Irrestricta,UNIVERSIDAD DEL CAUCA,,,UNIVERSIDAD DEL CAUCA,"OSCAR MAURICIO CAICEDO RENDON, ADRIANA MARIA SERNA, SANTIAGO SOLARTE THOMAS"
00000000008160,False,Computacional,PANDORA : Plataforma para el acceso a Servicios Web utilizando Mensajería Corta,Colombia,2004,Irrestricta,UNIVERSIDAD DEL CAUCA,,,UNIVERSIDAD DEL CAUCA,"OSCAR MAURICIO CAICEDO RENDON, MARLON JULIAN GOMEZ, YINETH SOFIA SOLARTE"
00000000008160,False,Computacional,Wireless Trace Service,Colombia,2006,,Comunidad Europea,,,Comunidad Europea,"JAVIER ALEXANDER HURTADO GUACA, OSCAR MAURICIO CAICEDO RENDON, FRANCISCO ORLANDO MARTINEZ PABON"
00000000008160,False,Computacional,Prototipo de un sistema de localización de vehículos,Colombia,2007,Restringido,Software Mobile Solutions Ltada,Sistema de localización de vehículos,SOMOS,Software Mobile Solutions Ltada,CRISTHIAN NICOLAS FIGUEROA MARTINEZ
00000000008160,False,Computacional,Sistema de Tarja DataControl,Colombia,2008,Restringido,DataControl,,,DataControl,CRISTHIAN NICOLAS FIGUEROA MARTINEZ
00000000004650,False,Computacional,analisis propioceptivo de miembro inferior,Colombia,2008,Irrestricta,UNIVERSIDAD DEL CAUCA,,,UNIVERSIDAD DEL CAUCA,NANCY JANNETH MOLANO TOBAR
