idcvlac,autor,nombre,tipo,verificado,nombre_comercial,contrato_registro,lugar,fecha,plataforma,ambiente,palabras,areas,sectores
0001358964,"JHONATHAN DIAZ, GABRIEL MAURICIO RAMIREZ VILLEGAS",APLICACION MOVIL LA MALDITA PRIMAVERA,Computacional,False,APLICACION MOVIL LA MALDITA PRIMAVERA,,Colombia,2012,Sistema Operativo Android,Android,ANDROID;APLICACION ;MOVIL;SISTEMA OPERATIVO,"Ingeniería y Tecnología;Ingenierías Eléctrica, Electrónica e Informática;Ingeniería de Sistemas y Comunicaciones",Desarrollo de programas (software) y prestación de servicios en informática
0001358964,"CARLOS ENRIQUE NAVIA, FRANCISCO PINEDA, GABRIEL MAURICIO RAMIREZ VILLEGAS",APLICACIÓN MOVIL PARA TIENDAS PEQUEÑAS,Computacional,False,APLICACIÓN MOVIL PARA TIENDAS PEQUEÑAS,,Colombia,2013,Sistema Operativo Android,Android,ANDROID;APLICACION ;MOVIL;SISTEMA OPERATIVO,"Ingeniería y Tecnología;Ingenierías Eléctrica, Electrónica e Informática;Ingeniería de Sistemas y Comunicaciones",Desarrollo de programas (software) y prestación de servicios en informática
0001358964,"RUTH EMELY CAMARGO, GABRIEL MAURICIO RAMIREZ VILLEGAS",APLICACION MOVIL 4XCERCISE,Computacional,False,APLICACION MOVIL 4XCERCISE,,Colombia,2014,Sistema Operativo Android,Android,ANDROID;APLICACION ;Computacion Movil;MOVIL;SISTEMA OPERATIVO,"Ingeniería y Tecnología;Ingenierías Eléctrica, Electrónica e Informática;Ingeniería de Sistemas y Comunicaciones",Desarrollo de programas (software) y prestación de servicios en informática
0001358964,"JAIRO ANTONIO RANGEL, JOSE MIGUEL SANTANA, GABRIEL MAURICIO RAMIREZ VILLEGAS",SISTEMA MÓVIL DE REPORTE Y ACTUALIZACION EN LINEA DE CALIFICACIONES PARA EL COLEGIO LOS MIRTOS ¿MOVINOTA¿,Computacional,False,SISTEMA MÓVIL DE REPORTE Y ACTUALIZACION EN LINEA DE CALIFICACIONES PARA EL COLEGIO LOS MIRTOS ¿MOVINOTA¿,,Colombia,2011,Sistema Operativo Android,Android,No Aplica,"Ingeniería y Tecnología;Ingenierías Eléctrica, Electrónica e Informática;Ingeniería de Sistemas y Comunicaciones",Desarrollo de programas (software) y prestación de servicios en informática
0001358964,"DUVAN VARGAS, EDWIN JAVIER VARON, GABRIEL MAURICIO RAMIREZ VILLEGAS",APLICACIÓN MOVIL CONTROL DE PERMISOS ARDILA Y ASOCIADOS,Computacional,False,APLICACIÓN MOVIL CONTROL DE PERMISOS ARDILA Y ASOCIADOS,,Colombia,2013,Sistema Operativo Android,Android,ANDROID;APLICACION ;MOVIL;SISTEMA OPERATIVO,"Ingeniería y Tecnología;Ingenierías Eléctrica, Electrónica e Informática;Ingeniería de Sistemas y Comunicaciones",Desarrollo de programas (software) y prestación de servicios en informática
0001358964,"EDISON BEJARANO, YEISON GARCIA, GABRIEL MAURICIO RAMIREZ VILLEGAS",APLICACIÓN MOVIL HOMECARE,Computacional,False,APLICACIÓN MOVIL HOMECARE,,Colombia,2013,Sistema Operativo Android,Android,ANDROID;APLICACION ;MOVIL;SISTEMA OPERATIVO,"Ingeniería y Tecnología;Ingenierías Eléctrica, Electrónica e Informática;Ingeniería de Sistemas y Comunicaciones",Desarrollo de programas (software) y prestación de servicios en informática
0001358964,"BUNNYS MERCADO, HECTOR OCAMPO, GABRIEL MAURICIO RAMIREZ VILLEGAS",APLICACION MOVIL PARA MENSAJERIA INTERNA CHAT,Computacional,False,APLICACION MOVIL PARA MENSAJERIA INTERNA CHAT,,Colombia,2014,Sistema Operativo Android,Android,ANDROID;APLICACION ;Computacion Movil;MOVIL;SISTEMA OPERATIVO,"Ingeniería y Tecnología;Ingenierías Eléctrica, Electrónica e Informática;Ingeniería de Sistemas y Comunicaciones",Desarrollo de programas (software) y prestación de servicios en informática
0001358964,"GABRIEL MAURICIO RAMIREZ VILLEGAS, SERGIO BALLEN",Aplicacion Movil PAPS 3.0,Computacional,False,Aplicacion Movil PAPS 3.0,,Colombia,2012,Android,,No Aplica,No Aplica,Educación
0001358964,"GABRIEL MAURICIO RAMIREZ VILLEGAS, MARIA ANGELICA CORREDOR",Aplicacion Movil para Control de Vehiculos,Computacional,False,Aplicacion Movil Control de Vehiculos,,Colombia,2013,Android,,No Aplica,"Ingeniería y Tecnología;Ingenierías Eléctrica, Electrónica e Informática;Ingeniería de Sistemas y Comunicaciones",Desarrollo de programas (software) y prestación de servicios en informática
0001358964,"ANDRES CONTRERAS HERNANDEZ, MIGUEL FIGUEROA, GABRIEL MAURICIO RAMIREZ VILLEGAS",Aplicacion Movil Formula Medica,Computacional,False,Aplicacion Formula Medica,,Colombia,2012,Android,,No Aplica,"Ingeniería y Tecnología;Ingenierías Eléctrica, Electrónica e Informática;Ingeniería de Sistemas y Comunicaciones",Desarrollo de programas (software) y prestación de servicios en informática
