idgruplac,lineas
00000000008156,"Administración y legislación de la construcción;Desarrollo tecnológico, procesos e innovación en materiales de la construcción;Ingeniería de tránsito;Redes de Semáforos;Seguridad vial;Topografía Vial"
00000000021496,Estudios Organizacionales y economías locales;Innovación y competitividad;Teoría económica y financiera
00000000002141,Bioinformática;Bioingeniería;Genetica Clinica;Genomica;Metagenomica;Microbiología;Salud Publica;Salud Publica - SIDA
00000000014080,Inteligencia computacional
00000000015256,Didácticas para el Diseño Tipográfico;Prácticas del Diseño Tipográfico;Recuperación y visibilización del patrimonio tipográfico de la Región;Tipografía y Cultura Visual
00000000000694,Automatización;Control y Robótica
00000000000668,"Antropologia biomedica;Antropología Forense , Victimas y Derecho internacional humanitario;Antropología Visual;Bioarqueología;Conflicto y paz en Colombia;Crecimiento y desarrollo;Diversidad Biológica y Cultural del Chocó geográfico;Estudios Afrocolombianos;Etnobotanica y etnomedicina;Mistica;antropologia Epidemiologica;antropologia y salud mental"
00000000002726,COMUNICACIÓN Y DESARROLLO;ESTUDIOS CULTURALES DE LA COMUNICACIÓN LA SOCIEDAD Y EL ARTE;TEXTUALIDAD E IMAGINARIOS URBANOS
00000000008159,GAMA ( Geosistemas andinos y modelos de antropización)Contaminacion de suelos;GAMA Geosistemas andinos y modelos de antropización;BIOSIG;Conocimiento y gestión de la biodiversidad (COBIOR);Gestion Ambiental
00000000008160,Ambientes Integrados para Desarrollo de Sistemas Telemáticos;Aplicaciones Soportadas en Internet;Gestión de Ciencia y Tecnología;Gestión de Redes y Servicios de Telecomunicaciones;Ingeniería de Sistemas Telemáticos;Servicios Avanzados de Telecomunicaciones;Sistemas de Tiempo Real;Tecnologías de la Información;e-Ambiente;eSalud
00000000006693,CUIDADO Y PRÁCTIA DE ENFERMERÍA FAMILIAR Y COMUNITARIA;CUIDADO Y PRÁCTICA DE ENFERMERÍA CLINICO AMBULATORIA;FORMACIÓN EN EL CUIDADO DE ENFERMERÍA
00000000007827,INGENIERIA DE LA INFORMACION;INGENIERIA DE LAS COMUNICACIONES
00000000008516,Desarrollo de Software;Redes
00000000010741,Administración y comercialización;Desarrollo Rural
00000000010589,GESTIÓN DEL RIESGO DE DESASTRES Y DESARROLLO SOSTENIBLE;MEDIO AMBIENTE Y HABITAT;PATRIMONIO;TECNOLOGIA
00000000017651,Forestería comunitaria;Productos forestales;Reforestación y restauración de tierras forestales;Silvicultura tropical
00000000003853,Biología de la Conservación;Ecología;Geología
00000000002146,Biotecnología aplicada al sector agroindustrial;Desarrollo e innovación de productos y procesos agroindustriales;Desarrollo y evaluación de productos para nutrición de especies menores;Gestión de la cadena de suministro y la cadena de valor para el sector agroindustrial
00000000002191,"Aprovechamiento de residuos agroindustriales;Materia Orgánica , Plaguicidas y Ambiente;Suelos, fertilizantes y fertilización"
00000000004407,Desarrollo y Gestión Territorial;Economía ambiental y desarrollo sostenible;Problemas de la Administración Pública
