idgruplac,curso,fecha,acto,programa
00000000008150,COMBINATORIA ADITIVA I,2009-11-18,Acuerdo081,Maestría en Ciencias Matemáticas
00000000008150,Teoria de NUmeros II,2009-11-18,Acuerdo081,Maestría en Ciencias Matemáticas
00000000008150,COMBINATORIA ADITIVA II,2009-11-18,Acuerdo081,Maestría en Ciencias Matemáticas
00000000008150,ALGEBRA,2009-11-18,Acuerdo081,Maestría en Ciencias Matemáticas
00000000008150,CAMPOS FINITOS I,2009-11-18,Acuerdo081,Maestría en Ciencias Matemáticas
00000000008150,CAMPOS FINITOS II,2009-11-18,Acuerdo081,Maestría en Ciencias Matemáticas
00000000010009,Instrumentación Aplicada (Neumática),2005-11-08,083,Maestría en Ingeniería Física
00000000010009,Sistemas Dinámicos,2005-11-08,083,Maestría en Ingeniería Física
00000000003625,Competencias empresariales,1981-03-11,025,Maestría en Ingeniería
00000000003625,Gestión de la Tecnologia y la innovación,1981-03-11,025,Maestría en Ingeniería
00000000003625,"Fundamentacion en ciencias sociales, desarrollo y CT&amp;i",2014-03-05,AS 016,Maestria en Gestion de las Organizaciones y Proyectos
00000000003625,Seminario de grado l (Investigación),2014-03-05,AS 016,Maestria en Gestion de las Organizaciones y Proyectos
00000000001014,Seminario de integración I,2005-08-02,048-2005,MAESTRÍA EN EDUCACIÓN
00000000001014,Seminario de Integración II,2005-08-02,048-2005,MAESTRÍA EN EDUCACIÓN
00000000001014,Seminario de Integración III,2005-08-02,048-2005,MAESTRÍA EN EDUCACIÓN
00000000001014,Seminario de línea lectura y escritura: ejecución del proyecto de investigación,2005-08-02,048-2005,MAESTRÍA EN EDUCACIÓN
00000000001014,Formulación proyectos de investigación,2005-08-02,048-2005,MAESTRÍA EN EDUCACIÓN
00000000001014,Estado del arte de la lectura y la escritura,2005-08-02,048 - 2005,MAESTRÍA EN EDUCACIÓN
00000000001014,Seminario de línea lectura y escritura: análisis de la información,2005-08-02,048-2005,MAESTRÍA EN EDUCACIÓN
00000000001014,Seminario de Maestría en Educación Español III Becas Excelencia MEN,2016-10-08,63375 M28,MAESTRÍA EN EDUCACIÓN
00000000008155,Materiales Cerámicos,2010-12-09,VRA - 644 de 2010,Maestría en Ingeniería Física
00000000008155,Ciencia y Tecnología de los materiales,2010-12-09,VRA - 644 de 2010,Maestría en Ingeniería Física
00000000008155,Tópicos en Materiales Cerámicos,2010-12-09,VRA - 644 de 2010,Maestría en Ingeniería Física
00000000002127,Electroquímica supramolecular,2009-11-18,080,Maestría en Ciencias - Química
00000000002127,Química Analítica Avanzada,2019-08-12,75147 D_QC,Maestría en Ciencias - Química
